system,query,success@1,success@3,success@5,success@10,MRR@10,nDCG@10
LaBSE-passages,hinglish,0.122,0.33,0.454,0.656,0.2636174603174603,0.12476676789695795
BM25-full,hinglish,0.108,0.282,0.412,0.634,0.23966984126984128,0.11019709979112156
TFIDF-full,hinglish,0.088,0.244,0.362,0.586,0.20834444444444444,0.10994739358511607
Hybrid-RRF,hinglish,0.184,0.376,0.5,0.716,0.3225595238095238,0.14972994431175082
LaBSE-passages,translated,0.168,0.384,0.52,0.744,0.3230793650793651,0.14916740698285433
BM25-full,translated,0.024,0.1,0.176,0.384,0.09790873015873015,0.047713743277877516
TFIDF-full,translated,0.03,0.162,0.31,0.544,0.1422920634920635,0.07571572650767107
Hybrid-RRF,translated,0.12,0.314,0.458,0.65,0.2599547619047619,0.11750940567792063
LaBSE-passages,english,0.146,0.316,0.454,0.668,0.2766571428571429,0.1222123950861846
BM25-full,english,0.196,0.41,0.574,0.758,0.3509801587301588,0.1815161086402451
TFIDF-full,english,0.148,0.316,0.424,0.63,0.27110079365079365,0.1473283042916106
Hybrid-RRF,english,0.202,0.41,0.55,0.738,0.34750714285714285,0.16781632783180628
