pair_id,condition,similarity_score,match_quality,hinglish_query,zero_shot_output,grounded_output,zero_factual,grounded_factual,zero_hallucination,grounded_hallucination,factual_gain,halluc_reduction
P01973,skin_rash,0.474,medium,"Meri beti ko ek rash hai jo theek nahi ho raha hai. Hydrocortisone cream help nahi karti. Pehle humne socha ki ye soap se contact dermatitis hai, lekin uska koi bhi karan nahi hai. Uski image attached","Aapki beti ki rash ke liye pehle to aapko doctor ki salah leni chahiye, unhone kuchh karan socha hoga ki Pancreatic Cancer ke liye blood test karwaya jaye. Lekin aapko tension lena chahiye ya nahi, ye doctor ke baad hi pata chalega. Rash aur Pancreatic Cancer ke beech mein koi direct connection nahi hai, lekin kuchh cases mein cancer ke symptoms mein skin problems bhi ho sakte hain. Aapko apne doctor se poora discussion karna chahiye aur unke instructions follow karna chahiye.","Aapki beti ki rash ke liye hum koi specific karan nahi bata sakte kyunki humare paas uske bare mein koi information nahi hai. Lekin hum yeh keh sakte hain ki scabies ek aam parasitic infection hai jo intense pruritus aur papulovesicular eruption ka karan ban sakta hai. Aapki beti ki rash ke liye doctor ne pancreatic cancer ke liye blood test karne ki salah di hai, lekin hum yeh confirm nahi kar sakte ki rash aur pancreatic cancer ke beech koi connection hai ya nahi. Aapko apne doctor se baat karni chahiye aur unke salah par chalna chahiye.",0.5,0.75,0.5,0.25,0.25,0.25
P02314,skin_rash,0.5886,high,"Meri lower legs par horrible red raised flaky itchy rash shuru hui, jisse hive like rash on my thighs par progress hua, phir hives ne upper arms, back and forearms tak spread kiya. Sabko bahut khujli ","Aapko 3 mahine se ye rash hai, aur wo hive like rash thighs se lekar upper arms, back, aur forearms tak spread ho gaya hai, aur aapko khujli hoti hai. Aapka ANA test negative aaya hai, isliye lupus ka chance kam hai. Aapki umra 64 saal hai, aur aapko roz 10mg citalopram lena hota hai, lekin ye rash ke saath koi direct connection nahi hai. Aapko dermatologist se milna chahiye, woh aapki skin ko dekhkar proper diagnosis aur treatment suggest kar sakte hain.","Aapki symptoms ko dekhkar, mujhe lagta hai ki aapki bimari chikungunya fever ki wajah se ho sakti hai, jaise ki clinical evidence mein bataya gaya hai. Lekin, aapke symptoms mein kuchh alag baat hai, jaise ki aapke face par inflammation aur hives. Hum yeh confirm nahi kar sakte ki aapki bimari chikungunya hai ya nahi, kyunki aapke test results aur symptoms puri tarah se match nahi kar rahe hain. Aapko apne doctor se milna chahiye aur apne symptoms ke baare mein aur discuss karna chahiye.",1.0,1.0,0.0,0.0,0.0,0.0
P02108,skin_rash,0.4553,medium," Meri hatheli par ek daana hai jo exczema ki tarah lag raha hai, mujhe iss daane ko ek mahine ya do mahine se hai. Kya ye HIV rash ho sakta hai? Maine bahut saare exczema creams aur hydrocortisone try","Aapka daana exczema ki tarah lagta hai, lekin HIV rash bhi ek sambhavana hai. Lekin sirf ek daana hone se HIV rash ka pata nahin chalta, iske liye doctor se milna zaroori hai. Aapne jo creams aur hydrocortisone try kiye hain, unse sirf itching mein madad mil rahi hai, isliye doctor se consult karna chahiye taaki woh aapko sahi diagnosis aur treatment de saken. Aapko apne daane ki image doctor ko dikhaani chahiye taaki woh iska sahi pata lagaa sakein.","Aapki skin par jo daana hai, uske baare mein hum confirm nahi kar sakte ki ye HIV rash hai ya nahi, kyunki clinical evidence mein iske baare mein koi jankari nahi di gayi hai. Aapke symptoms, jaise ki laal daana, khujli, aur brown color mein badalna, exczema ki tarah lagte hain, lekin hum iske liye koi confirmation nahi de sakte. Aapko ek dermatologist se milna chahiye jo aapki skin ko dekhkar sahi diagnosis aur treatment de sakta hai.",0.0,0.0,1.0,1.0,0.0,0.0
P02011,skin_rash,0.4533,medium,Mujhe lagbhag ek saal se upper body par ek ajeeb sa rash ho raha hai. Ye rash exercise ya garmi se badh jaata hai aur shower karne ke baad bhi. Lekin kabhi kabhi kam ho jaata hai lekin kabhi bhi bilku,"Aapko ek saal se upper body par rash ho raha hai, jo exercise, garmi, aur shower ke baad badh jaata hai. Aapne cortisone cream try ki hai lekin usse koi faayda nahi hua, aur blood work bhi normal aaya hai. Raat ko aapki skin garam, sukhi, aur bechain lagti hai, ye ek dry skin ya eczema ki samasya ho sakti hai. Aapne Gluten khaana band kar diya tha lekin koi faayda nahi hua, ab aap Allergist se milne ka intezaar kar rahe hain, unse milne ke baad hi sahi diagnosis aur treatment pata chalega.","Main aapki skin rash ke baare mein kuch nahi keh sakta kyunki clinical evidence mein iske baare mein koi jankari nahi hai. Lekin main yeh keh sakta hoon ki patient ke pass ""mechanic's hand"" ki problem thi, jismein skin rough aur cracked hoti hai. Lekin aapki skin rash ki wajah ya ilaaj ke baare mein main kuch nahi keh sakta kyunki clinical evidence mein iske baare mein koi jankari nahi hai. Aapko apne doctor se milna chahiye jo aapki skin rash ki jaanch kar sake aur sahi ilaaj sujhaye.",0.5,1.0,0.5,0.0,0.5,0.5
P00102,skin_rash,0.5531,high,"Mere bacche ki umar 2 saal 4 mahine hai, uske right arm side ki skin mein kuch takleef hai, paediatrician ne kaha hai ki ye kisi tarah ki viral infection hain, agar zarurat pade to caladryl aur atarax","Bacche ki skin mein takleef ho rahi hai, yeh viral infection ho sakta hai, jaise ki doctor ne kaha hai. Caladryl aur atarax syrup se khujli se raahat mil sakti hai, lekin ilaj ka samay har bacche ke liye alag-alag hota hai. 3 din mein abhi tak koi sudhar nahi hua hai, to shayad thoda aur samay lagega, lekin aapko doctor se milna chahiye taaki ve iski jaanch kar sakein aur aage ka ilaj bata sakein.","Main aapki bacchi ki condition ke baare mein kuchh nahi keh sakta kyunki clinical evidence sirf mere patient ki condition ke baare mein hai, jo ki 48 saal ki mahila hai. Main ismein aapki bacchi ki umar aur uske symptoms ke baare mein kuchh nahi jaanta. Aapko apne paediatrician se sampark karna chahiye jo aapki bacchi ki dekhbhal kar rahe hain.",0.0,0.25,1.0,0.0,0.25,1.0
P02065,skin_rash,0.5262,high,"Well pehle toh main 17 saal ka hoon karib 6 1 aur 160 hoon lekin mere chest par 3 ajeeb rash spots hain pehle woh itna zyada noticeable nahi tha lekin maine usko khujlaya aur wo scab ho gaya, ab us ja","Aapko 3 ajeeb rash spots hain chest par, jo pehle itne noticeable nahi the, lekin ab scab ho gaye hain aur us area mein thoda sa darker bhi hai. Ye ek skin infection ya allergy ka symptom ho sakta hai, jaise ki eczema ya dermatitis. Aapko ek dermatologist se consult karna chahiye, woh aapko proper diagnosis aur treatment de sakte hain. Aapko apne skin ko moisturize karna chahiye aur us area ko zyada khujlane se bachna chahiye.","Aapki skin par jo rash spots hain, wo interconnected, erythematous, scaly, erosive patches, papules aur tiny vesicles ho sakte hain, jaise ki clinical evidence mein describe kiya gaya hai. Lekin aapki umar aur height weight ka mention hai, jo clinical evidence se match nahi karta, isliye hum aapki condition ko confirm nahi kar sakte. Aapko doctor se consult karna chahiye jo aapki specific condition ko evaluate kar sake.",0.25,0.6666666666666666,0.75,0.3333333333333333,0.41666666666666663,0.4166666666666667
P01366,skin_rash,0.4732,medium,"Mere peeche poore bahut se ganthe hain, jinhe nazar aana mushkil hai jab tak main apni peeth ko stretch na karun: Doctor, image aap tak pahucha di hai woh neeche attach ki gayi hai. Inko dard toh nahi","Aapki chinta samajh mein aati hai, lekin aapko tension lena nahin chahiye. Aapke bataye gaye lakshanon se lagta hai ki ye lipoma ho sakte hain, jo ki stored fat cells hote hain, ya phir fibromas bhi ho sakte hain. Aapko ek specialist doctor se milna chahiye, jaise ki dermatologist ya general surgeon, jo aapki sthiti ka acche se pata laga sake aur aapko sahi salah de sake. Unse aap apni chinta aur sawal poonch sakte hain aur aapko relief milega.","Aapki chinta samajh mein aati hai, lekin mere paas aapke bare mein koi jaankari nahin hai, sirf ek 80 saal ke Japanese male ke bare mein jaankari hai. Unke pass lung tumour tha aur unke shareer mein kai anya tumours the, lekin aapke bare mein kuchh nahin pata chalta. Main aapko yeh nahin keh sakta ki aapke ganthe kya hain ya kyon hain, aapko apne doctor se milna chahiye jo aapki jaankari ke saath aapko sahi salah de sakta hai.",1.0,1.0,0.0,0.0,0.0,0.0
P02048,skin_rash,0.4404,medium,"Mujhe pichle kuch mahine se peeche, chhati, pait par ek fine rash ho raha hai, theek ho jata hai, phir wapas aa jata hai. Fir pait, peeth, pet, upari baho mein skin discoloration hai jo ek white disco","Aapko pichle kuch mahino se rash aa raha hai, jo theek ho jata hai phir wapas aa jata hai, isse lagta hai ki yeh koi allergic reaction ho sakta hai ya phir koi skin infection. Aapke pait, peeth, pet, aur upari baho mein white discoloration hai, yeh bhi koi skin condition ho sakti hai. Thakan aur neeche pet mein dard hone ki wajah koi internal issue bhi ho sakta hai, jaise ki digestion problem ya phir koi aur samasya. Aapko doctor se milna chahiye, woh aapki jaanch karke sahi diagnosis aur treatment bata sakte hain.","Aapke symptoms ko dekhkar, mujhe lagta hai ki yeh aapki pehle ki PRP ya PPK ki wajah se nahi ho raha hai, kyunki aapke pehle ke biopsy reports mein PRP ya PPK ki pushti hui thi. Lekin ab aapke liver ki samasya, jaise ki PBC, ki wajah se yeh ho sakta hai. Aapke liver enzyme levels pehle bhi badhe the, aur ab aapne antimitochondrial antibodies bhi develop kiye hain, jo ki PBC ki pushti karte hain. Mujhe lagta hai ki aapko apne hepatologist se milna chahiye aur unse apne symptoms ke baare mein baat karni chahiye.",0.0,0.25,1.0,0.0,0.25,1.0
P00709,skin_rash,0.5408,high,"Hi there I am radiologist,MD. Mere daddy ko chronic idiopatik allergy and nasal polyps hai. Aur aaj unki skin par sudden diffused erytematous rashes ho gaye hain aur unhone kuch cetyrizine liya hai le","Namaste doctor sahab, aapke daddy ki condition sunke lagta hai ki unhein allergic reaction ho raha hai. Shivering aur allergy ke beech relation ho sakta hai, kyunki allergy ke douran body mein histamine release hota hai, jo shivering aur anya symptoms ka kaaran ban sakta hai. Aapne cetyrizine diya hai, lekin agar symptoms abhi bhi continue ho rahe hain to doctor se milna zaroori hai. Kripya unhein jaldi se doctor ke paas le jayein, taaki unki proper diagnosis aur treatment ho sake.","Main aapki baat samajh raha hoon, lekin mere paas aapke daddy ki specific medical history ya image nahi hai. Clinical evidence ke hisaab se, hum sirf ek 30-year-old female patient ki case study ko dekhe hain, jismein atopic dermatitis, psoriasis, aur ACD ki history thi. Is case mein, patient ko tattoo ke baad severe cutaneous reaction hua tha, lekin ismein shivering ka koi zikr nahi hai. Main is baat ko confirm nahi kar sakta ki shivering aur allergy ke beech koi specific relation hai ya nahi, kyunki mere paas iske liye koi clinical evidence nahi hai. Aapko apne daddy ko ek doctor ke paas le jana chahiye jo unki specific condition ko evaluate kar sake.",0.0,0.5,1.0,0.5,0.5,0.5
P02340,skin_rash,0.5183,high,"Maine kaafi der se soch rahi thi ki iska karan kya ho sakta hai,par mere chest aur upper back par ek daane ki tarah dikh raha hai. Mai ek female hu aur woh mere breasts par bhi hai. Isme thode-se laal","Aapko jo daane ki tarah dikh raha hai, woh ek skin condition ho sakta hai, jaise ki eczema ya dermatitis. Laal daag aur dry skin bhi iske lakshan ho sakte hain. Aapko doctor se milna chahiye, woh aapko proper diagnosis aur treatment de sakte hain. Aapko koi bhi cream ya lotion use karne se pehle doctor ki salah leni chahiye, taaki aapko sahi treatment mil sake.","Aapki symptoms ko dekhkar, mujhe lagta hai ki yeh ek skin related issue ho sakta hai, lekin main confirm nahi kar sakta ki yeh kaunsa disease hai. Aapke description ke hisab se, yeh ek reddish patch ya daane ki tarah dikh raha hai, jo skin pe dry ho jaata hai aur skin peel ho jaati hai. Lekin aapke case mein, maine clinical evidence mein dekha hai ki patient ko itchy reddish patch aur vesicles thi, jo ulcer mein badal gayi thi, lekin aapko khujli nahi hai. Isliye, main aapko yeh nahi keh sakta ki aapko bhi wahi disease hai, kyunki aapke symptoms thode alag hain. Aapko doctor se milna chahiye aur unse apni symptoms ke baare mein discuss karna chahiye.",0.0,1.0,1.0,0.0,1.0,1.0
