pair_id,condition,random_case_id,random_condition_group,random_is_coincidentally_correct,grounded_output_random,random_is_refusal,random_factual_vs_random_ev,random_halluc_vs_random_ev,random_factual_vs_oracle_ev,random_has_concepts,real_factual,oracle_factual,zero_factual_vs_oracle,real_is_refusal,oracle_is_refusal,retrieval_top1_correct,model
P00413,,PMC8277509,dry_scalp,False,"Mujhe maaf kijiye, lekin jo clinical evidence aapne diya hai, usme aapke bacche ke symptoms ke baare mein koi jaankari nahi hai. Isliye main aapke sawal ka koi specific jawab nahi de sakta. Agar aapko lagta hai ki aapke bacche ko turant medical attention chahiye, to kripya kisi paediatrician se sampark karein.",True,,,,False,,,0.0,True,True,False,openai/gpt-oss-20b
P01376,,PMC6183550,skin_rash,False,"Mere paas jo clinical evidence hai, usme sirf shin ulcers aur venous‑arterial insufficiency ka zikr hai. Scalp ke nodule, itching, aur skin cancer ke risk ke baare mein koi information nahi hai. Isliye main is case mein koi specific doctor ya treatment suggest nahi kar sakta. Agar aapko scalp ki problem lagti hai, toh general dermatologist ya skin specialist se milna behtar hoga. Dhanyavaad.",True,0.3333333333333333,0.6666666666666666,0.3333333333333333,True,0.5,0.0,0.2,True,True,False,openai/gpt-oss-20b
P00384,,PMC11316490,skin_growth,False,"Mujhe aapke sawaal ka jawab dene ke liye diye gaye clinical evidence mein koi jaankari nahi mil rahi. Isliye main is baare mein koi nishchit baat nahi bata sakta. Agar aapko lagta hai ki aapke bete ko koi scalp ki samasya ho sakti hai, to kripya ek dermatologist ya paediatrician se consult karein.",True,,,,False,,,0.0,False,False,False,openai/gpt-oss-20b
P02759,,PMC11193920,knee_swelling,False,"Mere paas jo clinical evidence hai, usme sirf 9‑year‑old ladke ka knee ka case hai, koi hair dryer ya brain tumor ka zikr nahi hai. Isliye main aapke hair dryer use karne se brain tumor ya cancer hone ki baat confirm nahi kar sakta. Agar aapko scalp ya sir ke dard ke baare mein concern hai, toh ek dermatologist ya neurology specialist se consult karna behtar hoga.",True,0.5,0.5,0.5,True,0.0,0.0,0.3333333333333333,False,True,False,openai/gpt-oss-20b
P02965,,PMC6020502,knee_swelling,False,"Mujhe aapke Finasteride ke use aur aapki wife par iske potential effect ke baare mein koi clinical evidence nahi mila. Jo data maine dekha, woh sirf aapke knee infection se sambandhit hai. Isliye main is baat ko confirm nahi kar sakta ki Finasteride aapki wife ko affect karega ya nahi. Agar aapko iske baare mein aur jaankari chahiye, toh aap apne doctor se consult kar sakte hain.",True,0.0,1.0,0.0,True,,,,True,True,True,openai/gpt-oss-20b
P00869,,PMC9812408,swollen_eye,False,"Namaste, aapke diye gaye symptoms (fever, cough, chest flutter) ke baare mein mujhe koi clinical evidence nahi mila jo is condition ko cover kare. Isliye main is vishay par koi specific diagnosis ya treatment suggestion nahi de sakta. Agar aapko lagta hai ki aapko medical attention chahiye, to kripya apne local doctor se sampark karein.",True,0.0,1.0,1.0,True,,,0.5,False,True,False,openai/gpt-oss-20b
P01133,,PMC6683799,dry_scalp,False,"Mujhe maaf kijiye, lekin jo clinical evidence aapne di hai, usme aapke pedal edema, kidney stones ya dialysis se judi koi jaankari nahi hai. Isliye main is baare mein koi specific advice ya confirmation nahi de sakta. Agar aapko is topic par guidance chahiye, toh kripya apne doctor se direct consult karein.",True,0.0,1.0,1.0,True,1.0,,0.5,True,True,False,openai/gpt-oss-20b
P00381,,PMC11410032,skin_growth,False,"Mujhe aapke 4‑saal ke bete ke haath ke ganth ke baare mein koi clinical evidence nahi mila. Isliye main is condition ke liye koi specific diagnosis ya treatment suggest nahi kar sakta. Agar aapko koi aur symptoms ya concerns hain, toh please ek pediatric specialist se consult karein.",True,,,,False,,,0.0,True,True,False,openai/gpt-oss-20b
P01808,,PMC7168696,eye_inflammation,False,"Mujhe maaf kijiye, lekin jo clinical evidence aapne di hai, usme aapki wife ke ear boils, dry itchy skin, diabetes, hypertension ya scalp oil ke baare mein koi jaankari nahi hai. Isliye main aapko koi specific medication ya upay suggest nahi kar sakta. Agar aapko turant rahat chahiye, to ek qualified doctor se consult karna behtar hoga.",True,0.0,1.0,0.0,True,0.0,0.0,0.5,True,True,False,openai/gpt-oss-20b
P01240,,PMC4750019,dry_scalp,False,"Mujhe aapke sawal ka jawab dene ke liye uplabdh clinical evidence sirf 32‑year‑old patient ke vulvar epithelioid sarcoma ke baare mein hai. Is evidence mein aapke lower leg lumps, compression therapy, MRSA/VRSA history, spinal surgeries, ya 1985 ke uterus cancer ka koi zikr nahi hai. Isliye main iske baare mein koi specific medical advice ya diagnosis nahi de sakta. Aapke symptoms ke liye ek specialist (jaise orthopedic surgeon ya oncologist) se direct consult karna zaroori hai.",True,0.5,0.5,0.5,True,0.0,1.0,0.5,True,True,False,openai/gpt-oss-20b
P00438,,PMC5499956,mouth_ulcers,False,"Mujhe maaf kijiye, lekin jo clinical evidence aapne diya hai, woh ek 32‑year‑old male ke gout aur sacroiliitis ke case se sambandhit hai. Aapke 44‑year‑old mahila ke symptoms (BP, fatigue, joint pain, thyroid, etc.) ke baare mein is evidence se koi jaankari nahi mil rahi. Isliye main aapke prashn ka jawab is evidence ke aadhar par nahi de sakta.",True,1.0,0.0,1.0,True,,,,True,False,False,openai/gpt-oss-20b
P01202,,PMC9246615,swollen_eye,False,"Mujhe maaf kijiye, lekin jo clinical evidence aapne di hai, usme Hep C, peg IFN, ribavirin, ya pedal edema ke baare mein koi jankari nahi hai. Isliye main is case ke liye koi specific advice ya confirmation nahi de sakta. Agar aapko apni liver ki sthiti aur pedal ki samasya ke liye guidance chahiye, toh kripya apne hepatologist ya apne doctor se direct sampark karein.",True,1.0,0.0,1.0,True,0.0,1.0,1.0,True,True,False,openai/gpt-oss-20b
P01705,,PMC8455654,skin_irritation,False,"Mujhe maaf kijiye, lekin jo clinical evidence aapne di hai, woh ek 15‑year‑old ladke ke toxic shock syndrome se sambandhit hai. Iske alawa mujhe aapki maa ke case ke baare mein koi specific data nahi mila, isliye main unke symptoms ka exact kaaran ya ilaj batane mein asamarth hoon. Agar aapko koi aur medical information ya guidance chahiye, toh kripya apne doctor se sampark karein.",True,,,,False,,,1.0,True,False,False,openai/gpt-oss-20b
P01168,,PMC10408662,skin_irritation,False,"I’m sorry, but the clinical evidence provided only describes a long‑standing skin condition (eczema‑like papules, nodules, and plaques with high IgE, eosinophilia, and skin biopsy findings). It does not contain any information about hepatic carcinoma, hepatitis C treatment, leg swelling, or the drug “Soranib.” Therefore, I cannot confirm or advise on those specific issues.",True,1.0,0.0,0.5,True,,0.5,0.6666666666666666,False,True,False,openai/gpt-oss-20b
P01151,,PMC6701367,skin_irritation,False,"Namaste, aapke sawaal ka jawab dene ke liye mujhe maaf kijiye, lekin jo clinical evidence aapne di hai, usme nephrotic syndrome, membranous nephropathy, ya Neoral (cyclosporine) ke ba",True,,,,False,,,0.0,True,False,False,openai/gpt-oss-20b
P00379,,PMC9637344,skin_rash,False,"Mujhe aapke beta ke symptoms ke baare mein koi clinical evidence nahi mila jo is case se match kare. Isliye main is condition ke liye koi specific advice ya diagnosis nahi de sakta. Agar aapko lagta hai ki uski symptoms serious hain, toh please ek pediatric specialist ya neurology doctor se consult karein.",True,,,,False,,1.0,0.0,True,True,False,openai/gpt-oss-20b
P01688,,PMC10067985,mouth_ulcers,False,"Mere paas jo clinical evidence hai, woh sirf Hartsfield syndrome ke patients ke baare mein hai. Isme CHD, pulmonary hypertension, ya mucus‑producing cough ke baare mein koi jaankari nahi hai. Isliye main aapke sawal ka jawab nahi de sakta. Aapko apne doctor se hi sahi dawa aur dosage ke liye consult karna chahiye.",True,,,,False,,,,True,True,False,openai/gpt-oss-20b
P01083,,PMC6815536,edema,True,"Mujhe aapke left leg cuff ke baare mein koi clinical evidence nahi mila, isliye main is par koi specific advice nahi de sakta. Aapke patni ke CKD aur dialysis history ko dekhte hue, kisi bhi medication ka use ya dosage changes ko ek specialist se discuss karna zaroori hai. Agar symptoms worsen ho rahe hain, to turant apne nephrologist ya vascular specialist se consult karein. Main aapko yeh keh sakta hoon ki is case mein mujhe koi relevant evidence nahi mila.",True,,,,False,,,0.5,True,True,False,openai/gpt-oss-20b
P00799,,PMC10601770,swollen_eye,False,"Mujhe maaf kijiye, lekin jo clinical evidence aapne di hai, usme sirf ek 19‑year‑old African American patient ka orbital bone infarction (subperiosteal orbital hematoma) sickle cell crisis ke dauran dikhaya gaya hai. Is evidence mein SLE, renal tubular acidosis, medullary sponge kidneys, shortness syndrome, ya aapke legs",True,,,,False,,,1.0,True,True,False,openai/gpt-oss-20b
P02997,,PMC2322923,knee_swelling,False,"Mujhe aapke sawaal ka jawab dene ke liye koi clinical evidence nahi mila jo diuretics, uric acid, ya Aldactone ke baare mein ho. Isliye main is baat ko confirm nahi kar sakta. Agar aapko apne diuretic ko badalne ya uric acid par prabhav ke baare mein jaankari chahiye, toh aap apne doctor se direct consult karein.",True,,,,False,,,,True,True,True,openai/gpt-oss-20b
P01181,,PMC7433965,lip_swelling,False,"Mujhe aapke diye gaye clinical evidence mein liver cirrhosis ya hepatic encephalopathy ka koi zikr nahi mila. Isliye main is baat ko confirm nahi kar sakta ki yeh ek aur HE episode hai. Agar aapko iske baare mein detailed guidance chahiye, toh kripya liver specialist se consult karein.",True,,,,False,1.0,,,True,True,False,openai/gpt-oss-20b
P00935,,PMC6211252,hand_lump,False,"Mere paas sirf us case ki clinical evidence hai jisme 51 saal ke aadmi ka upper arm ka schwannoma aur surgery ka zikr hai. Aapke dard, garmi, anxiety, focus ki mushkil, aankhon ka dard aur screen fatigue ke baare mein koi data is evidence mein nahi hai. Isliye main confirm nahi kar sakta ki yeh symptoms kisi serious condition se jude hain. Agar aapko lagta hai ki aapko koi serious problem ho sakti hai, toh aapko doctor se direct consult karna chahiye.",True,,,,False,,0.3333333333333333,0.0,False,True,False,openai/gpt-oss-20b
P01448,,PMC6779781,eye_inflammation,True,"Mujhe maaf kijiye, lekin jo clinical evidence aapne di hai, usme tear duct ke paas koi cystic lump ya eye se related symptoms ka koi zikr nahi hai. Isliye main is case ke baare mein koi specific diagnosis ya specialist recommendation nahi de sakta. Agar aapko lagta hai ki aapki aankh ya tear duct mein koi problem ho sakti hai, to aapko ek ophthalmologist (ankh ke specialist) se milna chahiye.",True,1.0,0.0,0.0,True,1.0,0.0,0.0,True,True,False,openai/gpt-oss-20b
P01470,,PMC9079315,swollen_tonsils,False,"Mujhe aapke query ke liye koi clinical evidence nahi mila jo IV sedation ke baad lump, bruise ya pain se sambandhit ho. Isliye main is baare mein koi confirmatory advice nahi de",False,1.0,0.0,1.0,True,0.0,,0.0,True,True,True,openai/gpt-oss-20b
