system,variant,recall@1,recall@3,recall@5,recall@10,MRR@10,nDCG@10
BM25,Q1_hinglish,0.13432835820895522,0.3194029850746269,0.4514096185737977,0.6590381426202322,0.2716961488852036,0.4653309763496264
BM25,Q2_english_question,0.18673300165837478,0.3963515754560531,0.5349917081260365,0.7419568822553897,0.3345677696175208,0.5380799360531103
BM25,Q3_english_plus_caption,0.28623548922056385,0.5353233830845772,0.6669983416252073,0.8248756218905473,0.44403077206559793,0.6621735928360536
TF-IDF,Q1_hinglish,0.11674958540630183,0.3097844112769486,0.454726368159204,0.6679933665008292,0.2612540472241965,0.47107385652029954
TF-IDF,Q2_english_question,0.13930348258706468,0.32172470978441126,0.433167495854063,0.6102819237147595,0.265903024559741,0.4315107841151416
TF-IDF,Q3_english_plus_caption,0.20630182421227197,0.43449419568822556,0.5611940298507463,0.7359867330016584,0.3570842875569243,0.5666259513412231
multilingual-e5-base,Q1_hinglish,0.13034825870646766,0.33499170812603646,0.48258706467661694,0.693200663349917,0.2793957461370397,0.48317115609310635
multilingual-e5-base,Q2_english_question,0.24543946932006633,0.5018242122719735,0.6398009950248756,0.830514096185738,0.4137963621048198,0.6487047815370469
multilingual-e5-base,Q3_english_plus_caption,0.28059701492537314,0.5532338308457712,0.6971807628524046,0.8653399668325041,0.45470346679301904,0.7017357771424952
MuRIL,Q1_hinglish,0.06401326699834163,0.19203980099502488,0.29850746268656714,0.5174129353233831,0.1703787938613809,0.2930351039394433
MuRIL,Q2_english_question,0.18208955223880596,0.3761194029850746,0.5107794361525705,0.7111111111111111,0.3224104345994893,0.5066274525605932
MuRIL,Q3_english_plus_caption,0.23051409618573798,0.445771144278607,0.5893864013266998,0.7827529021558872,0.38183224091184287,0.5922953578855003
