report_id,report_text,clean_report_text,report_concepts,report_side
MMCQSD_REPORT_MMCQSD_000064,"Is the current treatment plan appropriate for a 10-month-old with a scratched, swollen, red, watery, light-sensitive eye that is affecting sleep? The image shows the condition of swollen eye. Eye lid entirely swollen and pink in color with tear dripping of the eye.",is the current treatment plan appropriate for a 10-month-old with a scratched swollen red watery light-sensitive eye that is affecting sleep the image shows the condition of swollen eye eye lid entirely swollen and pink in color with tear dripping of the eye,,unspecified
MMCQSD_REPORT_MMCQSD_002684,"What could be causing swollen, dry, and itchy eyelids in a pregnant woman despite using various treatments? The image shows the condition of swollen eye. Big swelling of the entire eyelid and also below the eye. Looks Dark red and little shiny. ",what could be causing swollen dry and itchy eyelids in a pregnant woman despite using various treatments the image shows the condition of swollen eye big swelling of the entire eyelid and also below the eye looks dark red and little shiny,,unspecified
MMCQSD_REPORT_MMCQSD_000103,Is it possible to have roseola without high fever in a 2.5-year-old boy with a rash and recent cold-like symptoms? The image shows the condition of skin rash. Red spots on the left should and back area. Multiple spots with redness.,is it possible to have roseola without high fever in a 2 5-year-old boy with a rash and recent cold-like symptoms the image shows the condition of skin rash red spots on the left should and back area multiple spots with redness,,left
MMCQSD_REPORT_MMCQSD_002692,"What could be the cause of dryness, dandruff, skin rash, and hair loss in a patient with hypothyroidism and genital warts? The image shows the condition of skin rash. Round and swollen spots on the skin, red in color and multiple in the affected area.",what could be the cause of dryness dandruff skin rash and hair loss in a patient with hypothyroidism and genital warts the image shows the condition of skin rash round and swollen spots on the skin red in color and multiple in the affected area,,unspecified
MMCQSD_REPORT_MMCQSD_000417,"What could be the cause of the rash on a 5-month-old baby's head, resembling a pea-sized mark, with no known head injury? The image here shows a medical condition related to foot_swelling. The foot is swollen with blue discolouration.",what could be the cause of the rash on a 5-month-old baby s head resembling a pea-sized mark with no known head injury the image here shows a medical condition related to foot swelling the foot is swollen with blue discolouration,,unspecified
MMCQSD_REPORT_MMCQSD_001265,"Could knots and swelling in the feet and hands, along with itching and excessive drinking, be a sign of diabetes? The image shows the condition of hand lump. Lump on the small fingers side of the palm.",could knots and swelling in the feet and hands along with itching and excessive drinking be a sign of diabetes the image shows the condition of hand lump lump on the small fingers side of the palm,,unspecified
MMCQSD_REPORT_MMCQSD_000094,"What treatment should be recommended for a 16-month-old baby with a persistent skin rash, itching, and disrupted sleep due to allergies? The image shows the condition of skin rash. Red spots on the left should and back area. Multiple spots with redness.",what treatment should be recommended for a 16-month-old baby with a persistent skin rash itching and disrupted sleep due to allergies the image shows the condition of skin rash red spots on the left should and back area multiple spots with redness,,left
MMCQSD_REPORT_MMCQSD_001539,"What is the hard lump under the skin under the left nostril after experiencing swollen upper lip, root canal, and antibiotics? The image shows the condition of Lip Swelling. Central portion of the upper lip is swollen.",what is the hard lump under the skin under the left nostril after experiencing swollen upper lip root canal and antibiotics the image shows the condition of lip swelling central portion of the upper lip is swollen,,left
MMCQSD_REPORT_MMCQSD_000568,"Could the ulcers in the mouth, weight loss, and recurrence be caused by an allergic reaction to the stent? The image shows the condition of mouth ulcers.",could the ulcers in the mouth weight loss and recurrence be caused by an allergic reaction to the stent the image shows the condition of mouth ulcers,,unspecified
MMCQSD_REPORT_MMCQSD_001042,Is the slightly raised bump with a small red dot and two hard bumps underneath indicative of ringworm? The image here shows a medical condition related to skin_growth. There are black eruptions and mass elevated from the surface on the skin.,is the slightly raised bump with a small red dot and two hard bumps underneath indicative of ringworm the image here shows a medical condition related to skin growth there are black eruptions and mass elevated from the surface on the skin,,unspecified
