sample_id,query_hinglish,report_id,report_text,target_text,dataset_profile
OPENI_000248,What abnormality is present in this chest X-ray?,OPENI_000248,"FINDINGS: Heart size and mediastinal contour are normal. Pulmonary vascularity is normal. Lungs are clear. No pleural effusions or pneumothoraces. There is a mild anterior wedge XXXX deformity of L1, age-indeterminate.. IMPRESSION: 1. No acute cardiopulmonary process. 2. Age indeterminant grade 1 anterior wedge XXXX deformity of L1.","FINDINGS: Heart size and mediastinal contour are normal. Pulmonary vascularity is normal. Lungs are clear. No pleural effusions or pneumothoraces. There is a mild anterior wedge XXXX deformity of L1, age-indeterminate.. IMPRESSION: 1. No acute cardiopulmonary process. 2. Age indeterminant grade 1 anterior wedge XXXX deformity of L1.",openi
OPENI_002464,What abnormality is present in this chest X-ray?,OPENI_002464,FINDINGS: No focal consolidation. No pneumothorax. No pleural effusions. Heart size normal. Cardio mediastinal silhouette is unremarkable.. IMPRESSION: 1. No acute cardiopulmonary findings.,FINDINGS: No focal consolidation. No pneumothorax. No pleural effusions. Heart size normal. Cardio mediastinal silhouette is unremarkable.. IMPRESSION: 1. No acute cardiopulmonary findings.,openi
OPENI_006081,What abnormality is present in this chest X-ray?,OPENI_006081,FINDINGS: There is a moderate sized right pleural effusion. Severe slightly smaller than is compared to XXXX. There is a small left pleural effusion. This is unchanged as compared to the prior study. There is a right chest wall venous XXXX XXXX which appears accessed. No pneumothorax. Scaphoid abdomen.. IMPRESSION: 1. Moderate sized right pleural effusion appears smaller than the prior study. 2. Small left pleural effusion appears unchanged.,FINDINGS: There is a moderate sized right pleural effusion. Severe slightly smaller than is compared to XXXX. There is a small left pleural effusion. This is unchanged as compared to the prior study. There is a right chest wall venous XXXX XXXX which appears accessed. No pneumothorax. Scaphoid abdomen.. IMPRESSION: 1. Moderate sized right pleural effusion appears smaller than the prior study. 2. Small left pleural effusion appears unchanged.,openi
OPENI_005118,What abnormality is present in this chest X-ray?,OPENI_005118,FINDINGS: Normal cardiomediastinal contours. No pneumothorax or pleural effusions. No focal lung consolidation.. IMPRESSION: 1. No acute cardiopulmonary abnormalities.,FINDINGS: Normal cardiomediastinal contours. No pneumothorax or pleural effusions. No focal lung consolidation.. IMPRESSION: 1. No acute cardiopulmonary abnormalities.,openi
OPENI_002670,What abnormality is present in this chest X-ray?,OPENI_002670,"FINDINGS: The lungs are clear, and without focal airspace opacity. The cardiomediastinal silhouette is normal in size and contour, and stable. There is no pneumothorax or large pleural effusion.. IMPRESSION: No acute cardiopulmonary abnormality.","FINDINGS: The lungs are clear, and without focal airspace opacity. The cardiomediastinal silhouette is normal in size and contour, and stable. There is no pneumothorax or large pleural effusion.. IMPRESSION: No acute cardiopulmonary abnormality.",openi
OPENI_002390,What abnormality is present in this chest X-ray?,OPENI_002390,FINDINGS: The cardiomediastinal silhouette is within normal limits. There is rounded calcified density within the left lower lobe most consistent with granuloma. Remaining lungs are clear without evidence of focal opacification. No pneumothorax or large pleural effusion. No acute bone abnormality.. IMPRESSION: No acute cardiopulmonary process.,FINDINGS: The cardiomediastinal silhouette is within normal limits. There is rounded calcified density within the left lower lobe most consistent with granuloma. Remaining lungs are clear without evidence of focal opacification. No pneumothorax or large pleural effusion. No acute bone abnormality.. IMPRESSION: No acute cardiopulmonary process.,openi
OPENI_001966,What abnormality is present in this chest X-ray?,OPENI_001966,FINDINGS: Heart is mildly enlarged but stable. Pulmonary vascularity is normal. The patient is status post valve replacement. XXXX sternotomy XXXX intact. No focal airspace disease or effusion. Residuals of prior granulomatous infection. Degenerative change of the spine. No pneumothorax.. IMPRESSION: 1. Stable cardiomegaly without evidence for acute pulmonary process.,FINDINGS: Heart is mildly enlarged but stable. Pulmonary vascularity is normal. The patient is status post valve replacement. XXXX sternotomy XXXX intact. No focal airspace disease or effusion. Residuals of prior granulomatous infection. Degenerative change of the spine. No pneumothorax.. IMPRESSION: 1. Stable cardiomegaly without evidence for acute pulmonary process.,openi
OPENI_004476,What abnormality is present in this chest X-ray?,OPENI_004476,FINDINGS: . IMPRESSION: Small calcification right lung base with appearance of old granulomatous disease. Also small perihilar calcified lymph XXXX. Lungs are clear. No active parenchymal disease. No XXXX of pleural effusions. No pulmonary edema. Normal heart size. No XXXX of active cardiopulmonary disease. Unchanged.,FINDINGS: . IMPRESSION: Small calcification right lung base with appearance of old granulomatous disease. Also small perihilar calcified lymph XXXX. Lungs are clear. No active parenchymal disease. No XXXX of pleural effusions. No pulmonary edema. Normal heart size. No XXXX of active cardiopulmonary disease. Unchanged.,openi
OPENI_001401,What abnormality is present in this chest X-ray?,OPENI_001401,"FINDINGS: Heart size normal. Lungs are clear. XXXX are normal. No pneumonia, effusions, edema, pneumothorax, adenopathy, nodules or masses.. IMPRESSION: Normal chest","FINDINGS: Heart size normal. Lungs are clear. XXXX are normal. No pneumonia, effusions, edema, pneumothorax, adenopathy, nodules or masses.. IMPRESSION: Normal chest",openi
OPENI_002971,What abnormality is present in this chest X-ray?,OPENI_002971,FINDINGS: Heart size and pulmonary vascularity appear within normal limits. The lungs are free of focal airspace disease. No pleural effusion or pneumothorax is seen. There is eventration of the right hemidiaphragm. Degenerative changes are present in the spine.. IMPRESSION: 1. No evidence of active disease.,FINDINGS: Heart size and pulmonary vascularity appear within normal limits. The lungs are free of focal airspace disease. No pleural effusion or pneumothorax is seen. There is eventration of the right hemidiaphragm. Degenerative changes are present in the spine.. IMPRESSION: 1. No evidence of active disease.,openi
OPENI_003045,What abnormality is present in this chest X-ray?,OPENI_003045,FINDINGS: Cardiomegaly. No focal consolidation. No pleural effusions. No evidence of pneumothorax. Osseous structures intact. Levocurvature of the thoracic spine. Lumbar vertebral body stabilization XXXX.. IMPRESSION: 1. No acute cardiopulmonary abnormality. 2. Cardiomegaly. .,FINDINGS: Cardiomegaly. No focal consolidation. No pleural effusions. No evidence of pneumothorax. Osseous structures intact. Levocurvature of the thoracic spine. Lumbar vertebral body stabilization XXXX.. IMPRESSION: 1. No acute cardiopulmonary abnormality. 2. Cardiomegaly. .,openi
OPENI_000545,What abnormality is present in this chest X-ray?,OPENI_000545,"FINDINGS: There is a lobulated contour to the right paratracheal stripe, possibly consistent with a vascular structure or lymph XXXX. The cardiomediastinal silhouette is otherwise within normal limits for appearance. No focal areas of pulmonary consolidation. No pneumothorax. No pleural effusion. The thoracic spine appears intact.. IMPRESSION: 1. Lobulated contour of the right paratracheal stripe. This may represent a vascular structure or enlarged lymph node and could be evaluated further with chest CT. Otherwise, no acute intrathoracic abnormality.","FINDINGS: There is a lobulated contour to the right paratracheal stripe, possibly consistent with a vascular structure or lymph XXXX. The cardiomediastinal silhouette is otherwise within normal limits for appearance. No focal areas of pulmonary consolidation. No pneumothorax. No pleural effusion. The thoracic spine appears intact.. IMPRESSION: 1. Lobulated contour of the right paratracheal stripe. This may represent a vascular structure or enlarged lymph node and could be evaluated further with chest CT. Otherwise, no acute intrathoracic abnormality.",openi
OPENI_000231,What abnormality is present in this chest X-ray?,OPENI_000231,FINDINGS: The heart size and pulmonary vascularity appear within normal limits. The lungs are free of focal airspace disease. No pleural effusion or pneumothorax is seen. Degenerative changes are present in the spine.. IMPRESSION: 1. No evidence of active disease.,FINDINGS: The heart size and pulmonary vascularity appear within normal limits. The lungs are free of focal airspace disease. No pleural effusion or pneumothorax is seen. Degenerative changes are present in the spine.. IMPRESSION: 1. No evidence of active disease.,openi
