pair_id,condition,caption_ref,model,prompt,multicare_output,multicare_precision,multicare_recall,multicare_f1,multicare_refusal,multicare_doc,multicare_cond_match,multicare_ev_words,pubmedqa_output,pubmedqa_precision,pubmedqa_recall,pubmedqa_f1,pubmedqa_refusal,pubmedqa_doc,pubmedqa_cond_match,pubmedqa_ev_words,mmedbench_output,mmedbench_precision,mmedbench_recall,mmedbench_f1,mmedbench_refusal,mmedbench_doc,mmedbench_cond_match,mmedbench_ev_words,shuffled_output,shuffled_precision,shuffled_recall,shuffled_f1,shuffled_refusal,shuffled_doc,shuffled_cond_match,shuffled_ev_words
P00804,cyanosis,Dark blue or blackish patches on the finger nails of both the hands with sligh discoloration near fingertips.,openai/gpt-oss-120b,direct,"Aapke chronic peripheral cyanosis ka sabse sambhav karan aapke case mein **large membranous VSD ke saath Eisenmenger syndrome** hai – yani VSD se right‑to‑left shunt ho raha hai, jis se oxygen‑poor blood directly systemic circulation mein ja raha hai aur cyanosis, clubbing aur polycythemia (Hct 60 %) hoti hai. Is shunt ke karan right‑ventricular pressure badh jaata hai, pulmonary artery",,,,False,multicare:PMC3096432,False,328,HHT (Hereditary Haemorrhagic Telangiectasia) में अक्सर शरीर के कई हिस्सों में arterio‑venous malformations,,,,False,pubmedqa:27864873,False,187,"Jo clinical evidence aapko diya gaya hai, usmein bataya gaya hai ki Turner syndrome (X chromosome ka missing hona) mein aortic valve ki problems, jaise bicuspid aortic valve aur aortic insufficiency, bahut common hain. Aortic insufficiency heart se blood ko proper tarah pump nahi karne deti, jis se chronic low blood pressure (80/40) aur peripheral cyanosis ho sakti hai. Isliye aapke",,,,False,mmedbench:MMEDBENCH_039702,False,280,"Clinical evidence se pata chalta hai ki aapke jaise patient mein retroperitoneal pheochromocytoma (catecholamine‑secreting tumor) ke karan episodic vasodilation, severe hypotension (BP 80/40) aur peripheral cyanosis ho sakti hai, especially jab tumor ko manipulate kiya jata hai. Catecholamine surge se heart failure, low cardiac output aur low SpO₂ (60 %) bhi dekha gaya, jo aap",,,,False,shuffled:PMC6057417,True,400
P01211,cyanosis,Greyish and slightly blue colored toe nails on right foot and dark blue discoloration around toes with slight redness on the central upper side of feet.,openai/gpt-oss-120b,direct,,,,,False,multicare:PMC5225734,True,400,"Clinical evidence ke mutabik, FLG gene ki mutations se mainly ichthyosis vulgaris (dry, scaly skin) aur atopic dermatitis (eczema) hoti hain, na ki nail ya rusty metal se hone wali infections. Aapke pair ka rang badalna ya nail ke contact se koi blood‑borne disease ka risk is genetic skin condition se sambandhit nahi hai. Agar aapko sirf rang ka badlav aur koi sujan ya itching nahi hai, to is evidence ke hisaab se koi specific test ya injection ki zarurat nahi hai. Phir bhi, agar aapko skin mein dryness, scaling ya eczema jaise lakshan dikhai den, to dermatologist se mil",0.0,0.0,0.0,False,pubmedqa:27519469,False,169,"Jo clinical evidence aapne diya hai, wo ek 5‑saal ke bacche mein Minimal Change Disease (Lipoid nephrosis) ka description hai – yani proteinuria, edema aur normal glomeruli on light microscopy. Yeh kidney ka problem hai aur isse aapke pair ka rang badalne ya rusty nail se infection ka koi sambandh nahi milta. Agar aapke pair mein koi dard, sujan, ya discharge nahi hai, to is evidence ke hisaab se aapko hepatitis ya HIV jaise blood‑borne infection ke liye turant test ki zarurat nahi lagti. Phir bhi,",0.0,0.0,0.0,False,mmedbench:MMEDBENCH_044264,False,290,"Clinical evidence se pata chalta hai ki aapke pehle case mein koi systemic infection ya fever nahi tha, sabhi imaging aur blood work normal the aur ulcer ko sirf local treatment (topical cream, mouth",0.0,0.0,0.0,False,shuffled:PMC10351595,False,400
P02842,dry_scalp,White and dry scalp.,openai/gpt-oss-120b,direct,"Jo clinical evidence aapko diya gaya hai, wo ek 16‑saal ke ladke ke chehre par “dermatitis neglecta” (DN) ke case ke baare mein hai, dandruff ya scalp ki problem ke baare mein nahi. DN ka diagnosis wet compression aur gentle rubbing se hota hai, aur biopsy‑aur‑immunofluorescence se confirm kiya jata hai; ismein anti‑desmoglein antibodies negative hote hain. Isliye aapke dandruff ke symptoms ke liye yeh evidence direct guidance nahi de sakta. Aapko apne dermatologist se scalp‑specific evaluation karani chahiye, taki wo aapke dandruff ka",,,,True,multicare:PMC10076712,False,400,"Clinical evidence ke mutabik, liquor carbonis distillate (coal‑tar) solution scalp psoriasis ke liye use ki ja sakti hai bina baal ke rang ko badle, chahe baal naturally light ho ya colour‑processed. Iska matlab yeh hai ki agar aap apni scalp par coal‑tar based product try karna chahte hain, to aapko baal ke staining ki chinta nahi karni padegi. Yeh data dandruff ke liye direct guidance nahi deta, lekin aapke current treatment ke alawa koi bhi coal‑tar shampoo ya solution safe hai hair colour ke liye. Isliye aap apne dermatologist se discuss kar",,,,False,pubmedqa:19735520,True,111,,,,,False,mmedbench:MMEDBENCH_039607,False,229,"Jo clinical evidence aapne diya hai, wo ek bachche ke alopecia (balon ka girna) ke case par hai, jisme microneedling aur topical/ injectable steroids se balon ki growth improve hui thi. Ismein dandruff ya scalp ki dryness/oiliness ka koi data ya treatment mention nahi hai, isliye is evidence se aapke powdery dandruff ke liye specific guidance nahi mil sakti. Agar aapko dandruff ka problem continue ho raha hai, to aapko dermatologist ke prescribed treatment (shampoo, scalp solution, supplements) ko continue rakhna chahiye aur unse hi frequency ya oiling routine ke baare mein puchna chahiye. Is case ki tarah, scalp ki condition ke liye alag treatment approach hoti hai, isliye aapko alag clinical guidelines follow karni padengi.",,,,False,shuffled:PMC9381928,True,400
P01885,dry_scalp,Red lesions on the skin of the scalp with dry skin andsilvery-white scales. Condition- Scalp psoriasis,openai/gpt-oss-120b,direct,"Clinical evidence में बताया गया है कि इमीक्विमॉड क्रीम से स्कैल्प पर दर्दनाक क्रस्ट और लालिमा हो सकती है, और कभी‑कभी यह बुलेस पेम्फिगोइड (BP) जैसी ऑटोइम्यून त्वचा बीमारी को ट्रिगर कर देती है, जिसमें टेन्स बुला और म्यूकोसल अल्सर भी दिखते हैं। आपके लक्षण (लाल स्कैल्प, “सनबर्न” जैसा जलन, बालों का झड़ना) इमीक्विमॉड‑इंड्यूस्ड BP या",,,,False,multicare:PMC10071145,True,331,"Jo clinical study ne dikhaya hai, usme hair dye ke **hydrogen peroxide (H₂O₂) + monoethanolamine (MEA)** milane se oxidative stress hota hai, jisse scalp dermatitis (red, sun‑burn jaisa feel) aur hair loss hota hai. Agar aap hair dye ya uske similar chemicals (bleach, permanent colour) use kar rahe hain, to yeh hi aapke teen mahine se chal rahe red scalp aur bal jhadne ka kaaran ho sakta hai. Blow dryer ya dusre hair products se alag, yeh chemical‑induced reaction hoti hai aur symptoms dye lagane ke baad bhi chal sakte hain. Isliye turant hair dye ka use band karein aur dermatologist se milkar patch test ya alternative",0.5,0.5,0.5,False,pubmedqa:22269445,False,208,"Aapke scalp ka laal rang, khujli aur greasy‑yellow scales (jo photo mein dikh rahe hain) seborrheic dermatitis ki typical presentation hai, khaaskar HIV positive logon mein ye zyada severe ho sakta hai. Yeh condition sirf hair product ya blow‑dryer ki garmi se nahi hoti; iska sambandh sebaceous glands ki over‑activity aur immune changes se hota hai. Iska ilaj anti‑fungal shampoos (ketoconazole ya ciclopirox) ya low‑potency topical steroids se kiya ja sakta hai, aur severe cases mein medicated creams (e.g., calcineurin inhibitors) bhi madadgar hote hain. Agar symptoms continue rahein ya hair loss badhe, to dermatologist se milna behtar rahega.",0.0,0.0,0.0,False,mmedbench:MMEDBENCH_043170,False,241,"Jo clinical evidence aapko diya gaya hai, wo lichen planus pigmentosus (LPP) ke baare mein hai – ek pigment‑dull, dark brown macules ka condition jo mainly chehre aur neck ke sun‑exposed areas mein hota hai, aur isme scalp ya hair loss ka zikr nahi hai. Aapke scalp ka red hona aur baal girna is description se match nahi karta, isliye yeh LPP ka symptom nahi lagta. Isliye aapko ek dermatologist",1.0,0.5,0.6666666666666666,False,shuffled:PMC3801232,False,171
P01886,dry_scalp,"White coloured scalp with lots of white flakes seen in the hairs.
Condition- dry scalp with dandruff caused by Malassezia Furfur.",openai/gpt-oss-120b,direct,"Jo clinical evidence aapne diya hai, wo sirf super‑glue (cyanoacrylate) ke skin par chipakne aur acetone se turant dissolve hone ke baare mein hai; ismein moustache ya baal ki growth, genetics ya hormonal treatment ka koi zikr nahi hai. Isliye is evidence ke basis par hum aapko moustache ke liye koi specific treatment ya umar‑specific growth ka jawab nahi de sakte. Aapko hair‑growth specialist ya dermatologist se alag se consult karna padega jo is topic ke liye relevant research aur options (jaise minoxidil, finasteride, ya hair transplant) par guidance de sake.",,,,False,multicare:PMC4904143,False,400,"Is clinical evidence mein sirf light‑field camera ki imaging capability ke baare mein bataya gaya hai – ki yeh scalp aur oral cavity ki tasveer achhi le sakta hai, lekin resolution conventional cameras se kam hoti hai. Yeh study beard growth, genetics ya 29 saal ke baad mooch aane ke chances se sambandhit koi data nahi deti. Isliye is evidence ke basis par aapke beard‑related sawaal ka koi scientific jawab dena possible nahi hai. Aapko iske liye dermatology ya endocrinology ke specialist se alag research ya clinical guidelines dekhni chahiye.",,,,False,pubmedqa:23331377,True,159,"Jo clinical evidence aapko diya gaya hai, woh sirf seborrheic keratosis—ek benign skin lesion—ke baare mein hai, aur ismein facial hair ya moustache ki growth ka koi zikr nahi hai. Isliye is evidence se aapke moustache ya beard ke genetics, treatment options, ya 29 saal ke baad growth ke chances ke baare mein koi conclusion nahi nikala ja sakta. Agar aapko beard growth ke liye advice chahiye, toh aapko uss specific topic par alag medical literature ya dermatologist se consult karna padega.",,,,False,mmedbench:MMEDBENCH_045167,False,236,,,,,False,shuffled:PMC9381928,True,400
P02835,dry_scalp,Few areas of white and dry scalp.,openai/gpt-oss-120b,direct,"जो क्लिनिकल एविडेंस आप ने दिया है, वह मुख्य रूप से सुपर ग्लू (cyanoacrylate) के चिपकने और उसे एसिटोन से जल्दी dissolve करने के बारे में है, न कि स्कैल्प प्सोरियासिस या फंगल इन्फेक्शन के बारे में। इसलिए इस एविडेंस से आपके स्कैल्प के दादों, खुजली या बाल झड़ने के कारणों पर कोई निष्कर्ष नहीं निकाला जा सकता। आपके लक्षणों के सही कारण का पता लगाने के लिये एक डर्मेटोलॉजिस्ट से फिर से परामर्श लें और आवश्यक होने पर स्किन स्क्रैप या कल्चर टेस्ट करवाएँ। यदि डॉक्टर को लगता है कि यह फंगल है, तो एंटी‑फंगल शैम्पू या क्रीम से मदद मिल सकती है; अगर प्सोरियासिस है तो टॉपिकल",,,,False,multicare:PMC4904143,False,400,"जो क्लिनिकल एविडेंस आप ने दिया है, वह रेटिनल (आँखों की) रोगों में लेज़र थेरेपी और anti‑VEGF दवाओं के उपयोग के बारे में है, न कि स्कैल्प या त्वचा की समस्याओं के बारे में। इसलिए इस एविडेंस से आपके स्कैल्प प्सोरियासिस या फंगल इन्फेक्शन के निदान या उपचार पर कोई निष्कर्ष नहीं निकाला जा सकता। scalp की समस्या के लिए आपको त्वचा‑रोग विशेषज्ञ (डर्मेटोलॉजिस्ट) से मिलना चाहिए, जो क्लिनिकल परीक्षा और आवश्यक लैब टेस्ट (जैसे स्कैल्प बायोप",,,,False,pubmedqa:21742309,False,176,"जो क्लिनिकल एविडेंस आप ने दिया है, वह एक 4‑साल के बच्चे में हाई फ़ीवर, पोलिमॉर्फ़स रैश, कॉन्जंक्टिवाइटिस, स्ट्रॉबेरी टंग, क्रैक्ड लिप्स और सूजे हुए हाथ‑पैर जैसी ख़ासियतों के आधार पर कावासाकी डिज़ीज़ की ओर इशारा करता है। इस स्थिति में सबसे ज़रूरी अगला कदम इकोकार्डियोग्राफी कराना है ताकि कोरोनरी आर्टरी में एनीयूरिज़्म या अन्य कार्ड",,,,False,mmedbench:MMEDBENCH_044339,False,245,Clinical evidence se pata chalta hai ki severe hair loss kabhi‑kabhi alopecia universalis,,,,False,shuffled:PMC11387167,False,310
P02759,dry_scalp,"White coloured scalp with lots of white flakes seen in the hairs.
Condition- dry scalp with dandruff caused by Malassezia Furfur.",openai/gpt-oss-120b,direct,"Clinical evidence ke hisaab se, woolly hair nevus ek **benign** (nonsaarak) condition hai aur isse brain tumor ya cancer ka koi sambandh nahi milta. Is case mein sirf baalon ki texture aur curliness badli hui thi, skin ya scalp par koi serious lesion nahi tha, isliye hair dryer ya oil lagane se cancer ka risk nahi hota. Agar aapko scalp par pimples, dard ya rash ho raha hai, to wo alag skin issue ho sakta hai – dermatologist se milkar uska proper evaluation karwana behtar rahega.",,,,False,multicare:PMC6385514,True,179,"Jo clinical evidence aapne diya hai, wo sirf scalp avulsion (scalp ka poora ya bada tukda girna) aur uske microsurgical replantation ke outcomes ke baare mein hai—yeh hair dryer, brain tumor ya cancer ke risk ko discuss nahi karta. Isliye is evidence se hum ye conclude nahi kar sakte ki hair dryer use karne se aapko brain tumor ya cancer ho sakta hai. Aapke scalp par pimples, thoda dard aur rash ka cause alag ho sakta hai, jaise folliculitis ya dermatological irritation, jo is study mein covered nahi hai. Agar aapko ye symptoms bar bar aate hain, to dermatologist ya neurologist se consult karna",,,,False,pubmedqa:22771088,True,148,"Jo clinical evidence aapko diya gaya hai, wo medullary thyroid carcinoma (MTC) aur uske treatment (vandetanib) ke baare mein hai, na ki hair dryer ya scalp problems se. Ismein hair dryer use, brain tumor ya skin cancer ka koi sambandh ya risk mention nahi hai, isliye is evidence se aapke hair dryer se cancer hone ka koi scientific proof nahi milta. Aapke scalp par pimples aur thode seconds ka dard aam skin irritation ya folliculitis ki wajah se ho sakta hai, lekin iske liye dermatologist se consult karna behtar rahega. Agar aapko koi serious neurological symptom ya persistent headache ho, to",,,,False,mmedbench:MMEDBENCH_045839,False,275,"Clinical evidence mein hair dryer ya uske heat exposure ko brain tumor ya cancer se jodne ka koi data nahi milta – yeh mainly alopecia (baal girna) ke diagnosis aur microneedling + steroid treatment ke outcomes par focus karta hai. Isliye aapke hair dryer use se cancer ya brain tumor hone ka risk bahut hi kam ya practically nonexistent hai. Agar scalp par pimples, thoda dard aur rash bar‑bar aate hain, to wo irritation ya kisi skin condition ki wajah se ho sakte hain; dermatologist se check‑up karwana behtar rahega. Regular oiling aur healthy hair growth aapke baalon ke liye achha hai, lekin agar aap",,,,False,shuffled:PMC9381928,True,400
P01106,edema,The leg is swollen with no signs of redness.,openai/gpt-oss-120b,direct,"Jo aapke symptoms (puri body mein paani jama hona, especially legs) hain, unka sabse common cause aapke case mein nephrotic syndrome hai – jaise ki clinical evidence mein dikhaya gaya membranous glomerulonephritis (MGN) ke saath 6‑7 g proteinuria aur serum albumin 2.5 g/dl. Low albumin hi plasma oncotic pressure ko kam karta hai, isliye fluid tissues mein shift ho jata hai aur edema hoti hai. Ferritin ka 9 ng/mL aur thoda low hemoglobin sirf mild iron‑deficiency anemia dikhate hain, lekin ye edema ka primary",1.0,1.0,1.0,False,multicare:PMC4323913,False,400,"Clinical evidence ke mutabik, generalized edema ya water retention ka sabse common hormonal cause hypothyroidism hota hai – isme ADH badh jata hai, ANH kam hota hai, aur RAAS suppressed hota hai, jo thyroid hormone replacement se theek ho jata hai. Aapka thyroid normal hai, isliye iron deficiency ya thodi si borderline anemia (ferritin 9 ng/mL) akele fluid retention ka primary reason nahi lagti; iron ki kami zyadatar anemia ya fatigue se judi hoti hai, edema se nahi. Isliye aapko dusre causes (jaise cardiac, renal, ya medication‑related) ko explore karna chahiye, kyunki hypothyroidism ke alawa evidence mein iron ka koi direct link nahi milta. Agar aapko lagta hai ki ferritin low hai, to iron supplement se anemia improve ho sakta hai, lekin edema par uska asar limited",1.0,1.0,1.0,True,pubmedqa:11522861,True,282,"Aapke ferritin ka level 9 ng/mL bahut low hai, jo iron‑deficiency anemia ka sabse strong sign hai (microcytic anemia, pale conjunctiva, angular cheilitis). Iron deficiency khud se usually swelling ya water retention cause nahi karti; aise edema ke liye kidney, heart, liver ya albumin level jaise aur causes ko dekhna padta hai. Sabse pehle aapko iron studies (serum iron, TIBC, transferrin saturation) confirm karni chahiye aur iron supplement se ferritin aur Hb ko normal range tak lana chahiye. Agar iron therapy ke baad bhi swelling bani rahe, to uske liye alag cardiac/renal evaluation karni hogi.",1.0,1.0,1.0,False,mmedbench:MMEDBENCH_040374,False,293,"Clinical evidence में आपके शरीर में पानी‑जमा (edema) का कोई सीधा कारण नहीं दिख रहा है। उदाहरण के लिए, BUN‑high‑normal, urine specific gravity 1.034 और सूखी मुँह‑जीभ जैसे लक्षण डिहाइड्रेशन (पानी की कमी) को दर्शाते हैं, न कि अतिरिक्त तरल‑जमा को। कम ferritin (9 ng/mL) और हल्का‑से‑नीचा Hb/HCT सिर्फ आयरन‑डिफिशिएंसी एनीमिया की ओर इशारा करते हैं, जो आमतौर पर सूजन या edema का कारण नहीं बनते। यदि आप अभी भी पैर‑पैर में सूजन महसूस कर रहे हैं, तो हृदय,",1.0,1.0,1.0,False,shuffled:PMC9739949,False,400
P01152,edema,The left hand is swollen.,openai/gpt-oss-120b,direct,,,,,False,multicare:PMC3056429,False,400,"Jo clinical study aapke saath share ki gayi hai, usmein polydeoxyribonucleotide (PDRN) ne rats ke hind‑limb ischemia model mein VEGF‑A",,,,False,pubmedqa:18971038,True,247,"Jo clinical evidence aapko diya gaya hai, usmein fatigue, anemia, renal failure, hypercalcemia aur lumbar spine ka dard sab milke multiple myel",,,,False,mmedbench:MMEDBENCH_043962,False,202,,,,,False,shuffled:PMC8010253,False,400
P00381,edema,The left leg is swollen with deformation in the toes.,openai/gpt-oss-120b,direct,"Clinical evidence ke mutabik, jab cyanoacrylate (super glue) skin par lagta hai to wo jaldi hi polymerize ho kar ek hard plastic mesh bana leta hai, jise haath‑haath chipkaane ki situation hoti hai. Aise hard “ganth” ko acetone se bahut hi tezi se dissolve kiya ja sakta hai – case mein sirf kuch hi",,,,False,multicare:PMC4904143,False,400,"Mujhe maaf kijiye, lekin jo clinical evidence aapne diya hai, wo sirf inhaled corticosteroids (ICS) ke istemal ke baad munh‑gargle ya mouth‑wash karne se hone wale thoda‑bahut oral side‑effects (jaise hoarseness, stomatitis, dry mouth) par hai, aur yeh bhi sirf adult males‑females ke liye hai. Ismein haath ki ganth, bachchon ka swelling, ya koi orthopedic ya dermatologic problem ka koi data ya guidance nahi diya gaya. Isliye is evidence ke basis par aapke bete ki haath ki ganth ka diagnosis ya treatment suggest karna possible nahi hai. Aapko ek pediatrician ya dermatologist se milna behtar rahega.",0.5,1.0,0.6666666666666666,True,pubmedqa:24147582,False,301,"Jo clinical evidence aapne diya gaya hai, wo ek 38‑saal ke aadmi ke Zika virus infection ke symptoms (bukhar, headache, joint pain, conjunctival redness, maculopapular rash, hematospermia, hearing loss) ke baare mein hai. Yeh evidence aapke 4‑saal ke bete ke haath par jo ganth hai, uski halat ya diagnosis se sambandhit nahi hai. Isliye is case mein Zika virus ka koi sambandh nahi lagta. Aapke bacche ki ganth ke liye, ek pediatrician ya dermatologist se mil",0.0,0.0,0.0,False,mmedbench:MMEDBENCH_038460,False,305,"Jo aapne bataya hai, usmein koi dard, chot ya haddi‑nas ka nishaan nahi hai, aur sabhi routine jaanch bhi normal aayi hain – yeh clinical evidence mein diye gaye “conversion (dissociative) disorder” ki tarah lagta hai, jahan sharirik lakshan bina koi organic wajah ke aate hain. Aise halat mein doctor aksar physical cause ko rule‑out karne ke baad, manovaigyanik (psychological) assessment aur supportive therapy ki salah dete hain. Aapke bete ko ek psychiatrist ya child psychologist ke paas le jaane se unke symptoms ka behtar samajh aur upchar mil sakta hai. Saath hi, agar koi naya swelling ya sujan barhta hai ya dard shuru hota hai, to",1.0,1.0,1.0,False,shuffled:PMC3137816,False,400
