sample_id,query_hinglish,report_id,report_text,cmi_bucket
MMCQSD_0001,Skin pe laalpan aur sujan hai kya image report me? Thoda simple samjhao.,M001,Skin erythema over forearm with mild edema; no abscess formation.,medium
MMCQSD_0002,"Doctor, Kaan ke infection ka sign mil raha hai ky? jaldi batao.",M002,Otitis externa signs with canal edema; tympanic membrane intact.,high
MMCQSD_0003,"Please explain: Doctor, Aankh me redness aur pani aa raha hai, repot kya bolti hai?",M003,Conjunctival congestion with watery discharge; no corneal ulcer.,low
MMCQSD_0004,Is clinical query ka simple Hinglish summary do. jaldi batao.,M004,Mild sinus mucosal thickening without fluid level.,high
MMCQSD_0005,Please explain: Is clinical query ka simple Hinglish summary do. Thoda simple samjhao.,M005,"Localized soft tissue swelling around ankle, no fracture line seen.",medium
MMCQSD_0006,"Doctor, Is clinical query ka simple Hinglish summary do. jaldi batao.",M006,No acute abnormality detected in provided clinical image summary.,high
MMCQSD_0007,"Please explain: Doctor, Skin pe laalpan aur sujan hai kya image repot me? Thoda simple samjhao.",M001,Skin erythema over forearm with mild edema; no abscess formation.,medium
MMCQSD_0008,"Doctor, Kaan ke infxn ka sign mil raha hai kya?",M002,Otitis externa signs with canal edema; tympanic membrane intact.,low
MMCQSD_0009,"Please explain: Doctor, Aankh me redness aur pani aa raha hai, rprt kyaa bolti hai? jaldi batao.",M003,Conjunctival congestion with watery discharge; no corneal ulcer.,high
MMCQSD_0010,"Please explain: Doctor, Is clinical query ka simple Hinglish summary do.",M004,Mild sinus mucosal thickening without fluid level.,low
MMCQSD_0011,"Doctor, Is clinical query ka simple Hinglish summary do. Thoda simple samjhao.",M005,"Localized soft tissue swelling around ankle, no fracture line seen.",medium
MMCQSD_0012,Is clinical query ka simple Hinglish summary do.,M006,No acute abnormality detected in provided clinical image summary.,low
MMCQSD_0013,"Doctor, Skin pe laalpan aur sujan hai kya image report me? Thoda simple samjhao.",M001,Skin erythema over forearm with mild edema; no abscess formation.,medium
MMCQSD_0014,"Doctor, Kaan ke infection ka sign mil raha hai kya? Thoda simple samjhao.",M002,Otitis externa signs with canal edema; tympanic membrane intact.,medium
MMCQSD_0015,"Doctor, Aankh me redness aur pani aa raha hai, report kya bolti hai? Thoda simple samjhao.",M003,Conjunctival congestion with watery discharge; no corneal ulcer.,medium
MMCQSD_0016,Is clinical query ka simple Hinglish summary do.,M004,Mild sinus mucosal thickening without fluid level.,low
MMCQSD_0017,"Doctor, Is clinical query ka simple Hinglish summary do.",M005,"Localized soft tissue swelling around ankle, no fracture line seen.",low
MMCQSD_0018,"Please explain: Doctor, Is clinical query ka simple Hinglish summary do. Thoda simple samjhao.",M006,No acute abnormality detected in provided clinical image summary.,medium
MMCQSD_0019,Skin pe laalpan aur sujan hai kyaa image repot me? jaldi batao.,M001,Skin erythema over forearm with mild edema; no abscess formation.,high
MMCQSD_0020,Please explain: Kaan ke infection ka sign mil raha hai kya? Thoda simple samjhao.,M002,Otitis externa signs with canal edema; tympanic membrane intact.,medium
MMCQSD_0021,"Aankh me redness aur pani aa raha hai, report kya bolti hai? Thoda simple samjhao.",M003,Conjunctival congestion with watery discharge; no corneal ulcer.,medium
MMCQSD_0022,Is clinical query ka simple Hinglish summary do. Thoda simple samjhao.,M004,Mild sinus mucosal thickening without fluid level.,medium
MMCQSD_0023,"Doctor, Is clinical query ka simple Hinglish summary do. Thoda simple samjhao.",M005,"Localized soft tissue swelling around ankle, no fracture line seen.",medium
MMCQSD_0024,"Doctor, Is clinical query ka simple Hinglish summary do. Thoda simple samjhao.",M006,No acute abnormality detected in provided clinical image summary.,medium
MMCQSD_0025,"Doctor, Skin pe laalpan aur sujan hai kya image rprt me?",M001,Skin erythema over forearm with mild edema; no abscess formation.,low
MMCQSD_0026,"Doctor, Kaan ke infxn ka sign mil raha hai kya? jaldi batao.",M002,Otitis externa signs with canal edema; tympanic membrane intact.,high
MMCQSD_0027,"Doctor, Aankh me redness aur pani aa raha hai, report kya bolti hai? Thoda simple samjhao.",M003,Conjunctival congestion with watery discharge; no corneal ulcer.,medium
