sample_id,query_hinglish,report_id,report_text,cmi_bucket
PUBMEDQA_0001,Is medical evidence ka short interpretation do.,P001,Evidence suggests corticosteroids can reduce inflammation in selected cases.,low
PUBMEDQA_0002,Is treatment ka clear benefit hai ya nahi? jaldi batao.,P002,Meta-analysis indicates no significant mortality benefit in this cohort.,high
PUBMEDQA_0003,kyaa study me treatment effective dikhaya gaya hai? jaldi batao.,P003,Study reports improved symptom control with combination therapy.,high
PUBMEDQA_0004,Kya evidence conclusive nahi hai?,P004,Findings are inconclusive due to small sample size and study heterogeneity.,low
PUBMEDQA_0005,Please explain: Is treatment ka clear benefit hai ya nahi?,P005,No clear association was observed between intervention and primary endpoint.,low
PUBMEDQA_0006,Please explain: ky study me treatment effective dikhaya gaya hai? jaldi batao.,P006,Moderate evidence quality supports short-term efficacy.,high
PUBMEDQA_0007,Please explain: Is medical evidence ka short interpretation do. Thoda simple samjhao.,P001,Evidence suggests corticosteroids can reduce inflammation in selected cases.,medium
PUBMEDQA_0008,Please explain: Is treatment ka clear benefit hai ya nahi? Thoda simple samjhao.,P002,Meta-analysis indicates no significant mortality benefit in this cohort.,medium
PUBMEDQA_0009,Kya study me treatment effective dikhaya gaya hai? jaldi batao.,P003,Study reports improved symptom control with combination therapy.,high
PUBMEDQA_0010,kyaa evidence conclusive nahi hai? Thoda simple samjhao.,P004,Findings are inconclusive due to small sample size and study heterogeneity.,medium
PUBMEDQA_0011,Is treatment ka clear benefit hai ya nahi? jaldi batao.,P005,No clear association was observed between intervention and primary endpoint.,high
PUBMEDQA_0012,Kya study me treatment effective dikhaya gaya hai? Thoda simple samjhao.,P006,Moderate evidence quality supports short-term efficacy.,medium
PUBMEDQA_0013,Please explain: Is medical evidence ka short interpretation do. jaldi batao.,P001,Evidence suggests corticosteroids can reduce inflammation in selected cases.,high
PUBMEDQA_0014,Is treatment ka clear benefit hai ya nahi? jaldi batao.,P002,Meta-analysis indicates no significant mortality benefit in this cohort.,high
PUBMEDQA_0015,Kya study me treatment effective dikhaya gaya hai? Thoda simple samjhao.,P003,Study reports improved symptom control with combination therapy.,medium
PUBMEDQA_0016,kya evidence conclusive nahi hai? jaldi batao.,P004,Findings are inconclusive due to small sample size and study heterogeneity.,high
PUBMEDQA_0017,Please explain: Is treatment ka clear benefit hai ya nahi? Thoda simple samjhao.,P005,No clear association was observed between intervention and primary endpoint.,medium
PUBMEDQA_0018,Kya study me treatment effective dikhaya gaya hai? Thoda simple samjhao.,P006,Moderate evidence quality supports short-term efficacy.,medium
PUBMEDQA_0019,Is medical evidence ka short interpretation do. Thoda simple samjhao.,P001,Evidence suggests corticosteroids can reduce inflammation in selected cases.,medium
PUBMEDQA_0020,Is treatment ka clear benefit hai ya nahi?,P002,Meta-analysis indicates no significant mortality benefit in this cohort.,low
PUBMEDQA_0021,Please explain: kya study me treatment effective dikhaya gaya hai? Thoda simple samjhao.,P003,Study reports improved symptom control with combination therapy.,medium
PUBMEDQA_0022,Kya evidence conclusive nahi hai? Thoda simple samjhao.,P004,Findings are inconclusive due to small sample size and study heterogeneity.,medium
PUBMEDQA_0023,Is treatment ka clear benefit hai ya nahi? Thoda simple samjhao.,P005,No clear association was observed between intervention and primary endpoint.,medium
PUBMEDQA_0024,Kya study me treatment effective dikhaya gaya hai? jaldi batao.,P006,Moderate evidence quality supports short-term efficacy.,high
PUBMEDQA_0025,Is medical evidence ka short interpretation do. Thoda simple samjhao.,P001,Evidence suggests corticosteroids can reduce inflammation in selected cases.,medium
PUBMEDQA_0026,Is treatment ka clear benefit hai ya nahi? jaldi batao.,P002,Meta-analysis indicates no significant mortality benefit in this cohort.,high
PUBMEDQA_0027,Kya study me treatment effective dikhaya gaya hai? Thoda simple samjhao.,P003,Study reports improved symptom control with combination therapy.,medium
PUBMEDQA_0028,Please explain: Kya evidence conclusive nahi hai? Thoda simple samjhao.,P004,Findings are inconclusive due to small sample size and study heterogeneity.,medium
PUBMEDQA_0029,Is treatment ka clear benefit hai ya nahi? Thoda simple samjhao.,P005,No clear association was observed between intervention and primary endpoint.,medium
PUBMEDQA_0030,kyaa study me treatment effective dikhaya gaya hai? jaldi batao.,P006,Moderate evidence quality supports short-term efficacy.,high
PUBMEDQA_0031,Is medical evidence ka short interpretation do. Thoda simple samjhao.,P001,Evidence suggests corticosteroids can reduce inflammation in selected cases.,medium
PUBMEDQA_0032,Is treatment ka clear benefit hai ya nahi?,P002,Meta-analysis indicates no significant mortality benefit in this cohort.,low
PUBMEDQA_0033,Kya study me treatment effective dikhaya gaya hai? jaldi batao.,P003,Study reports improved symptom control with combination therapy.,high
PUBMEDQA_0034,ky evidence conclusive nahi hai?,P004,Findings are inconclusive due to small sample size and study heterogeneity.,low
PUBMEDQA_0035,Is treatment ka clear benefit hai ya nahi? Thoda simple samjhao.,P005,No clear association was observed between intervention and primary endpoint.,medium
PUBMEDQA_0036,kyaa study me treatment effective dikhaya gaya hai?,P006,Moderate evidence quality supports short-term efficacy.,low
PUBMEDQA_0037,Is medical evidence ka short interpretation do. Thoda simple samjhao.,P001,Evidence suggests corticosteroids can reduce inflammation in selected cases.,medium
PUBMEDQA_0038,Is treatment ka clear benefit hai ya nahi?,P002,Meta-analysis indicates no significant mortality benefit in this cohort.,low
PUBMEDQA_0039,ky study me treatment effective dikhaya gaya hai? Thoda simple samjhao.,P003,Study reports improved symptom control with combination therapy.,medium
PUBMEDQA_0040,Kya evidence conclusive nahi hai? Thoda simple samjhao.,P004,Findings are inconclusive due to small sample size and study heterogeneity.,medium
PUBMEDQA_0041,Is treatment ka clear benefit hai ya nahi?,P005,No clear association was observed between intervention and primary endpoint.,low
PUBMEDQA_0042,kyaa study me treatment effective dikhaya gaya hai? jaldi batao.,P006,Moderate evidence quality supports short-term efficacy.,high
PUBMEDQA_0043,Is medical evidence ka short interpretation do. Thoda simple samjhao.,P001,Evidence suggests corticosteroids can reduce inflammation in selected cases.,medium
PUBMEDQA_0044,Is treatment ka clear benefit hai ya nahi?,P002,Meta-analysis indicates no significant mortality benefit in this cohort.,low
PUBMEDQA_0045,ky study me treatment effective dikhaya gaya hai? Thoda simple samjhao.,P003,Study reports improved symptom control with combination therapy.,medium
PUBMEDQA_0046,ky evidence conclusive nahi hai?,P004,Findings are inconclusive due to small sample size and study heterogeneity.,low
PUBMEDQA_0047,Is treatment ka clear benefit hai ya nahi? Thoda simple samjhao.,P005,No clear association was observed between intervention and primary endpoint.,medium
PUBMEDQA_0048,Kya study me treatment effective dikhaya gaya hai? Thoda simple samjhao.,P006,Moderate evidence quality supports short-term efficacy.,medium
PUBMEDQA_0049,Please explain: Is medical evidence ka short interpretation do. Thoda simple samjhao.,P001,Evidence suggests corticosteroids can reduce inflammation in selected cases.,medium
PUBMEDQA_0050,Please explain: Is treatment ka clear benefit hai ya nahi? Thoda simple samjhao.,P002,Meta-analysis indicates no significant mortality benefit in this cohort.,medium
PUBMEDQA_0051,Kya study me treatment effective dikhaya gaya hai? Thoda simple samjhao.,P003,Study reports improved symptom control with combination therapy.,medium
PUBMEDQA_0052,Kya evidence conclusive nahi hai? Thoda simple samjhao.,P004,Findings are inconclusive due to small sample size and study heterogeneity.,medium
PUBMEDQA_0053,Is treatment ka clear benefit hai ya nahi? jaldi batao.,P005,No clear association was observed between intervention and primary endpoint.,high
PUBMEDQA_0054,Kya study me treatment effective dikhaya gaya hai? Thoda simple samjhao.,P006,Moderate evidence quality supports short-term efficacy.,medium
PUBMEDQA_0055,Is medical evidence ka short interpretation do.,P001,Evidence suggests corticosteroids can reduce inflammation in selected cases.,low
PUBMEDQA_0056,Is treatment ka clear benefit hai ya nahi? jaldi batao.,P002,Meta-analysis indicates no significant mortality benefit in this cohort.,high
PUBMEDQA_0057,Kya study me treatment effective dikhaya gaya hai? jaldi batao.,P003,Study reports improved symptom control with combination therapy.,high
PUBMEDQA_0058,Kya evidence conclusive nahi hai? Thoda simple samjhao.,P004,Findings are inconclusive due to small sample size and study heterogeneity.,medium
PUBMEDQA_0059,Is treatment ka clear benefit hai ya nahi?,P005,No clear association was observed between intervention and primary endpoint.,low
PUBMEDQA_0060,kya study me treatment effective dikhaya gaya hai?,P006,Moderate evidence quality supports short-term efficacy.,low
PUBMEDQA_0061,Is medical evidence ka short interpretation do.,P001,Evidence suggests corticosteroids can reduce inflammation in selected cases.,low
PUBMEDQA_0062,Is treatment ka clear benefit hai ya nahi? jaldi batao.,P002,Meta-analysis indicates no significant mortality benefit in this cohort.,high
PUBMEDQA_0063,Kya study me treatment effective dikhaya gaya hai? Thoda simple samjhao.,P003,Study reports improved symptom control with combination therapy.,medium
PUBMEDQA_0064,kya evidence conclusive nahi hai? Thoda simple samjhao.,P004,Findings are inconclusive due to small sample size and study heterogeneity.,medium
PUBMEDQA_0065,Is treatment ka clear benefit hai ya nahi? Thoda simple samjhao.,P005,No clear association was observed between intervention and primary endpoint.,medium
PUBMEDQA_0066,Please explain: Kya study me treatment effective dikhaya gaya hai? Thoda simple samjhao.,P006,Moderate evidence quality supports short-term efficacy.,medium
PUBMEDQA_0067,Is medical evidence ka short interpretation do. Thoda simple samjhao.,P001,Evidence suggests corticosteroids can reduce inflammation in selected cases.,medium
PUBMEDQA_0068,Is treatment ka clear benefit hai ya nahi? Thoda simple samjhao.,P002,Meta-analysis indicates no significant mortality benefit in this cohort.,medium
PUBMEDQA_0069,ky study me treatment effective dikhaya gaya hai? jaldi batao.,P003,Study reports improved symptom control with combination therapy.,high
PUBMEDQA_0070,Kya evidence conclusive nahi hai? Thoda simple samjhao.,P004,Findings are inconclusive due to small sample size and study heterogeneity.,medium
PUBMEDQA_0071,Please explain: Is treatment ka clear benefit hai ya nahi? jaldi batao.,P005,No clear association was observed between intervention and primary endpoint.,high
PUBMEDQA_0072,Kya study me treatment effective dikhaya gaya hai? jaldi batao.,P006,Moderate evidence quality supports short-term efficacy.,high
PUBMEDQA_0073,Is medical evidence ka short interpretation do. jaldi batao.,P001,Evidence suggests corticosteroids can reduce inflammation in selected cases.,high
PUBMEDQA_0074,Please explain: Is treatment ka clear benefit hai ya nahi? Thoda simple samjhao.,P002,Meta-analysis indicates no significant mortality benefit in this cohort.,medium
PUBMEDQA_0075,Please explain: kya study me treatment effective dikhaya gaya hai? Thoda simple samjhao.,P003,Study reports improved symptom control with combination therapy.,medium
PUBMEDQA_0076,Kya evidence conclusive nahi hai? Thoda simple samjhao.,P004,Findings are inconclusive due to small sample size and study heterogeneity.,medium
PUBMEDQA_0077,Is treatment ka clear benefit hai ya nahi?,P005,No clear association was observed between intervention and primary endpoint.,low
PUBMEDQA_0078,Kya study me treatment effective dikhaya gaya hai?,P006,Moderate evidence quality supports short-term efficacy.,low
PUBMEDQA_0079,Please explain: Is medical evidence ka short interpretation do. Thoda simple samjhao.,P001,Evidence suggests corticosteroids can reduce inflammation in selected cases.,medium
PUBMEDQA_0080,Is treatment ka clear benefit hai ya nahi?,P002,Meta-analysis indicates no significant mortality benefit in this cohort.,low
PUBMEDQA_0081,kya study me treatment effective dikhaya gaya hai?,P003,Study reports improved symptom control with combination therapy.,low
PUBMEDQA_0082,Please explain: kyaa evidence conclusive nahi hai? Thoda simple samjhao.,P004,Findings are inconclusive due to small sample size and study heterogeneity.,medium
PUBMEDQA_0083,Is treatment ka clear benefit hai ya nahi?,P005,No clear association was observed between intervention and primary endpoint.,low
PUBMEDQA_0084,Kya study me treatment effective dikhaya gaya hai? Thoda simple samjhao.,P006,Moderate evidence quality supports short-term efficacy.,medium
PUBMEDQA_0085,Is medical evidence ka short interpretation do. Thoda simple samjhao.,P001,Evidence suggests corticosteroids can reduce inflammation in selected cases.,medium
PUBMEDQA_0086,Is treatment ka clear benefit hai ya nahi? Thoda simple samjhao.,P002,Meta-analysis indicates no significant mortality benefit in this cohort.,medium
PUBMEDQA_0087,Kya study me treatment effective dikhaya gaya hai? Thoda simple samjhao.,P003,Study reports improved symptom control with combination therapy.,medium
PUBMEDQA_0088,Kya evidence conclusive nahi hai? jaldi batao.,P004,Findings are inconclusive due to small sample size and study heterogeneity.,high
PUBMEDQA_0089,Is treatment ka clear benefit hai ya nahi?,P005,No clear association was observed between intervention and primary endpoint.,low
PUBMEDQA_0090,Please explain: Kya study me treatment effective dikhaya gaya hai? Thoda simple samjhao.,P006,Moderate evidence quality supports short-term efficacy.,medium
PUBMEDQA_0091,Is medical evidence ka short interpretation do. Thoda simple samjhao.,P001,Evidence suggests corticosteroids can reduce inflammation in selected cases.,medium
PUBMEDQA_0092,Please explain: Is treatment ka clear benefit hai ya nahi?,P002,Meta-analysis indicates no significant mortality benefit in this cohort.,low
PUBMEDQA_0093,Please explain: kyaa study me treatment effective dikhaya gaya hai?,P003,Study reports improved symptom control with combination therapy.,low
PUBMEDQA_0094,Kya evidence conclusive nahi hai? jaldi batao.,P004,Findings are inconclusive due to small sample size and study heterogeneity.,high
PUBMEDQA_0095,Is treatment ka clear benefit hai ya nahi? jaldi batao.,P005,No clear association was observed between intervention and primary endpoint.,high
PUBMEDQA_0096,kya study me treatment effective dikhaya gaya hai? Thoda simple samjhao.,P006,Moderate evidence quality supports short-term efficacy.,medium
PUBMEDQA_0097,Is medical evidence ka short interpretation do.,P001,Evidence suggests corticosteroids can reduce inflammation in selected cases.,low
PUBMEDQA_0098,Please explain: Is treatment ka clear benefit hai ya nahi? jaldi batao.,P002,Meta-analysis indicates no significant mortality benefit in this cohort.,high
PUBMEDQA_0099,Please explain: Kya study me treatment effective dikhaya gaya hai? jaldi batao.,P003,Study reports improved symptom control with combination therapy.,high
PUBMEDQA_0100,ky evidence conclusive nahi hai? Thoda simple samjhao.,P004,Findings are inconclusive due to small sample size and study heterogeneity.,medium
PUBMEDQA_0101,Is treatment ka clear benefit hai ya nahi? jaldi batao.,P005,No clear association was observed between intervention and primary endpoint.,high
PUBMEDQA_0102,Kya study me treatment effective dikhaya gaya hai?,P006,Moderate evidence quality supports short-term efficacy.,low
PUBMEDQA_0103,Is medical evidence ka short interpretation do. Thoda simple samjhao.,P001,Evidence suggests corticosteroids can reduce inflammation in selected cases.,medium
PUBMEDQA_0104,Is treatment ka clear benefit hai ya nahi? Thoda simple samjhao.,P002,Meta-analysis indicates no significant mortality benefit in this cohort.,medium
PUBMEDQA_0105,Kya study me treatment effective dikhaya gaya hai? jaldi batao.,P003,Study reports improved symptom control with combination therapy.,high
PUBMEDQA_0106,Kya evidence conclusive nahi hai?,P004,Findings are inconclusive due to small sample size and study heterogeneity.,low
PUBMEDQA_0107,Is treatment ka clear benefit hai ya nahi?,P005,No clear association was observed between intervention and primary endpoint.,low
PUBMEDQA_0108,Kya study me treatment effective dikhaya gaya hai? Thoda simple samjhao.,P006,Moderate evidence quality supports short-term efficacy.,medium
PUBMEDQA_0109,Is medical evidence ka short interpretation do. jaldi batao.,P001,Evidence suggests corticosteroids can reduce inflammation in selected cases.,high
PUBMEDQA_0110,Is treatment ka clear benefit hai ya nahi?,P002,Meta-analysis indicates no significant mortality benefit in this cohort.,low
PUBMEDQA_0111,Kya study me treatment effective dikhaya gaya hai?,P003,Study reports improved symptom control with combination therapy.,low
PUBMEDQA_0112,Please explain: ky evidence conclusive nahi hai? jaldi batao.,P004,Findings are inconclusive due to small sample size and study heterogeneity.,high
PUBMEDQA_0113,Is treatment ka clear benefit hai ya nahi? Thoda simple samjhao.,P005,No clear association was observed between intervention and primary endpoint.,medium
PUBMEDQA_0114,Kya study me treatment effective dikhaya gaya hai? jaldi batao.,P006,Moderate evidence quality supports short-term efficacy.,high
PUBMEDQA_0115,Is medical evidence ka short interpretation do. jaldi batao.,P001,Evidence suggests corticosteroids can reduce inflammation in selected cases.,high
PUBMEDQA_0116,Is treatment ka clear benefit hai ya nahi? Thoda simple samjhao.,P002,Meta-analysis indicates no significant mortality benefit in this cohort.,medium
PUBMEDQA_0117,Please explain: ky study me treatment effective dikhaya gaya hai? Thoda simple samjhao.,P003,Study reports improved symptom control with combination therapy.,medium
PUBMEDQA_0118,Please explain: Kya evidence conclusive nahi hai?,P004,Findings are inconclusive due to small sample size and study heterogeneity.,low
PUBMEDQA_0119,Is treatment ka clear benefit hai ya nahi? Thoda simple samjhao.,P005,No clear association was observed between intervention and primary endpoint.,medium
PUBMEDQA_0120,Kya study me treatment effective dikhaya gaya hai? jaldi batao.,P006,Moderate evidence quality supports short-term efficacy.,high
PUBMEDQA_0121,Is medical evidence ka short interpretation do.,P001,Evidence suggests corticosteroids can reduce inflammation in selected cases.,low
PUBMEDQA_0122,Is treatment ka clear benefit hai ya nahi? Thoda simple samjhao.,P002,Meta-analysis indicates no significant mortality benefit in this cohort.,medium
PUBMEDQA_0123,Kya study me treatment effective dikhaya gaya hai? Thoda simple samjhao.,P003,Study reports improved symptom control with combination therapy.,medium
PUBMEDQA_0124,Kya evidence conclusive nahi hai?,P004,Findings are inconclusive due to small sample size and study heterogeneity.,low
PUBMEDQA_0125,Is treatment ka clear benefit hai ya nahi? jaldi batao.,P005,No clear association was observed between intervention and primary endpoint.,high
PUBMEDQA_0126,Kya study me treatment effective dikhaya gaya hai?,P006,Moderate evidence quality supports short-term efficacy.,low
PUBMEDQA_0127,Is medical evidence ka short interpretation do.,P001,Evidence suggests corticosteroids can reduce inflammation in selected cases.,low
PUBMEDQA_0128,Is treatment ka clear benefit hai ya nahi? Thoda simple samjhao.,P002,Meta-analysis indicates no significant mortality benefit in this cohort.,medium
PUBMEDQA_0129,Please explain: Kya study me treatment effective dikhaya gaya hai? jaldi batao.,P003,Study reports improved symptom control with combination therapy.,high
