section,claim,claimed,actual,status,source,note
Table 1,Hybrid (RRF) Hinglish 0.1751,0.1751,0.1751243781094527,VERIFIED,retrieval_v2_metrics.csv,
Table 1,Hybrid (RRF) English 0.1973,0.1973,0.1973466003316749,VERIFIED,retrieval_v2_metrics.csv,
Table 1,LaBSE Hinglish 0.1280,0.128,0.1280265339966832,VERIFIED,retrieval_v2_metrics.csv,
Table 1,LaBSE English 0.1486,0.1486,0.1485903814262023,VERIFIED,retrieval_v2_metrics.csv,
Table 1,BM25 Hinglish 0.0935,0.0935,0.0935323383084577,VERIFIED,retrieval_v2_metrics.csv,
Table 1,BM25 English 0.1847,0.1847,0.184742951907131,VERIFIED,retrieval_v2_metrics.csv,
Table 1,TF-IDF Hinglish 0.0842,0.0842,0.08424543946932,VERIFIED,retrieval_v2_metrics.csv,
Table 1,TF-IDF English 0.1529,0.1529,0.1529021558872305,VERIFIED,retrieval_v2_metrics.csv,
Table 1,Hybrid penalty +0.0222,0.0222,0.0222222222222222,VERIFIED,h4_v2_tests_by_depth.csv,
Table 1,LaBSE penalty +0.0206,0.0206,0.020563847429519,VERIFIED,h4_v2_tests_by_depth.csv,
Table 1,BM25 penalty +0.0912,0.0912,0.0912106135986732,VERIFIED,h4_v2_tests_by_depth.csv,
Sect. 5.1,BM25/dense penalty ratio ~4.4x,4.4,4.435483870967753,VERIFIED,derived from h4_v2_tests_by_depth.csv,
Sect. 5.1,MuRIL Hinglish 0.0640 (chance),0.064,0.0640132669983416,VERIFIED,h4_baselines.csv,
Sect. 5.1,MuRIL English 0.1821,0.1821,0.1820895522388059,VERIFIED,h4_baselines.csv,
Table 2,constant 'swelling' 0.7132,0.7132,0.7132196162046909,VERIFIED,degenerate_baselines.csv,
Table 2,verbatim copy 1.0000,1.0,1.0,VERIFIED,degenerate_baselines.csv,
Table 3,"llama oracle, repaired lexicon, delta +0.2962",0.2962,0.2961847818350061,VERIFIED,contrasts.csv,
Table 3,"llama oracle, repaired lexicon, d = 0.720",0.72,0.7201748640171719,VERIFIED,contrasts.csv,
Table 3,gpt-oss-120b oracle delta +0.2659,0.2659,0.2607884586856549,MISMATCH,contrasts.csv,"Paper also states n = 223, d = 0.662. contrasts.csv has n = 214, d = 0.640; h1_real_120b reports +0.2849 (n = 124). No committed file matches the paper."
Table 3,gpt-oss-120b real retrieval delta +0.2238,0.2238,0.0704409969115851,MISMATCH,contrasts.csv,"Paper states n = 237, d = 0.616. contrasts.csv has +0.0704 (n = 221); h1_real_120b reports +0.2347 (n = 131). No committed file matches the paper."
Sect. 5.3,"llama oracle F1, circular +0.203",0.203,0.2029421380803869,VERIFIED,contrasts.csv,
Sect. 5.3,"llama oracle F1, unbiased +0.062",0.062,0.0620407053522877,VERIFIED,contrasts.csv,
Sect. 5.3,"gpt-oss-120b oracle F1, circular +0.093",0.093,0.0925845751293321,VERIFIED,contrasts.csv,
Sect. 5.3,"gpt-oss-120b oracle F1, unbiased -0.021",-0.021,-0.0207280667598127,VERIFIED,contrasts.csv,
Sect. 5.3,"gpt-oss-120b real F1, circular -0.032",-0.032,-0.0320255957860999,VERIFIED,contrasts.csv,
Sect. 5.3,"gpt-oss-120b real F1, unbiased -0.047",-0.047,-0.0468975468975468,VERIFIED,contrasts.csv,
Sect. 5.3,grounding reduces concept recall by 0.138,-0.138,-0.1384479717813051,VERIFIED,contrasts.csv,"GENERATOR NOT STATED IN THE PAPER, and it matters: this is gpt-oss-120b. The llama arm moves the OPPOSITE way (recall +0.0774, BH p = 9.3e-07), so 'grounding trades recall for precision' is generator-specific, not general. Name the generator in the sentence."
Sect. 5.3,oracle beats real retrieval by +0.0875 (p = 0.041),0.0875,,NOT FOUND,NOT FOUND in any committed file,"CONTRADICTED. h1_real_120b: +0.0748, n = 76, p = 0.226. h1_real_retrieval: +0.0755, n = 125, p = 0.106. Both NON-significant. The paper reports this as 'small but significant'. Must be corrected."
Table 4,grounded factual support rho = -0.001,-0.001,-0.0006287774240783,VERIFIED,h2_corrected_cmi_stats.csv,
Table 4,zero-shot factual support rho = -0.116,-0.116,-0.1155269295472123,VERIFIED,h2_corrected_cmi_stats.csv,
Table 4,grounded hallucination rho = -0.022,-0.022,-0.022402312169935,VERIFIED,h2_corrected_cmi_stats.csv,
Table 4,zero-shot hallucination rho = +0.042,0.042,0.0420438886348334,VERIFIED,h2_corrected_cmi_stats.csv,
Table 5,MultiCaRe refusal 88.1%,0.881,0.88125,VERIFIED,h3_summary.csv,
Table 5,MMedBench refusal 76.2%,0.762,0.7625,VERIFIED,h3_summary.csv,
Table 5,MultiCaRe mean F1 0.3265,0.3265,0.3264550264550264,VERIFIED,h3_summary.csv,"See results/h3_provenance/h3_power.md: 59 of the 63 scoreable MultiCaRe answers are ALSO flagged refusals, so this F1 is computed largely on hedges."
Table 5,PubMedQA mean F1 0.3476,0.3476,0.3476190476190476,VERIFIED,h3_summary.csv,
