item_id,patient_question,answer_text,extractor_concepts,wrong_concepts,missed_concepts,appropriateness,_hidden_arm,_hidden_pair_id,_hidden_tertile
A001,"Hi, pichle 24 ghante mein mere jeebh ke dono taraf aur jeb mein kai abnormally large aur painful ulcers develop ho gaye hain. Pichle 6 ghante mein ek kaan mein dard bhi shuru ho gaya hai, ek taraf jeebh mein sujan hai, gale mein glands suj gaye hain aur swallowing mein difficulty ho rahi hai.Please dekhein something happened on the neck below. Main bahut stress mein bhi hoon aur soch raha hoon ki kya yeh uska karan hai, aur agar nahi toh phir kya hai.","Arre bhai, main dekh raha hoon ki aapke paas jeebh ke dono taraf aur jeb mein abnormally large aur painful ulcers ho gaye hain. Ye symptoms myocarditis ya koi anya cardiac condition ke liye nahi hai, kyunki aapke paas toofan se pehle bhi chest tightness aur chest pain ho raha tha. Lekin, aapke paas abhi bhi ek naya symptom hai, jiska karan nahi pata chala hai. Kya aapko lagta hai ki yeh symptoms pulmonary emboli ke karan ho sakte hain, jo aapke paas hai?",pain,,,,grounded,P00210,high
A002,"Haal hi mein mere left lower eyelid do baar suj gayi hai. Please doctor, dekhiye kya ho raha hai mere eyelid mein aur mere mouth ke uper corners mein. Sujan ek din aur adha ya do din tak rehti hai jab ye ho jati hai. Jab ye shuru hoti hai toh pehle itching wala ek gathri hoti hai aur phir fail jati hai. Jab ye mere mouth par hoti hai toh mere hont tingling hote hain. Ye kis cheez ki wajah se ho sakta hai?","Beta, tumhare symptoms bahut hi khatarnak hain. Left lower eyelid ka sujan plexiform neurofibromatosis ke karan ho sakta hai, jismein tumhare MRI mein bhi soft tissue lesions dekhne ko milte hain. Ye lesions tumhare left lower eyelid mein bhi ho sakte hain. Tumhare symptoms ka itna samay tak rehta hona aur tingling ka anubhav tumhare hont mein ho raha hona, yeh bhi neurofibromatosis ke karan ho sakta hai. Humein zaroorat hai tumhare case ka detailed examination karna aur MRI ki report ko aur detail mein dekha jana.",lesion,,,,grounded,P00855,high
A003,"Main ab hepatitis C ke liye Incivek, Interferon aur ribavirin therapy par hoon. Mujhe ek hafte mein ek baar neupogen shots lena padta hai kyunki mere white blood counts low hain, mere legs aur feet mein pitting hai. Please doctor, dekhiye is vartaman condition ko neeche. Aur abhi mein 40mg ke lasix par hoon, aur pichle do din se mujhe nosebleeds hain, aur ab mere aankhon ke aas paas bleeding ho rahi hai. Kuch ho kya raha hai?","Arre bhai, main dekh raha hoon. Tumhare condition ke liye, main kuchh cheezon par focus karna chahta hoon. Tumhari spasticity ke liye ITB pump implant kiya gaya hai, lekin tumhare incision site par leakage ho raha hai aur tumhein recurrent infections hain. Iske alawa, tumhari white blood counts low hain, jisse tumhein Neupogen shots lena padta hai. Aur abhi tum 40mg Lasix par ho, jisse tumhein nosebleeds aur aankhon ke aas paas bleeding ho rahi hai. 

Main kya keh sakta hoon, bhai? Tumhari current condition mein, main kuchh cheezon par focus karna chahta hoon. Tumhari white blood counts low hain, jisse tumhein Neupogen shots lena padta hai. Aur tumhari Lasix ke dosage ke karan tumhein nosebleeds aur aankhon ke aas paas bleeding ho rahi hai. Main iske alawa kuchh bhi nahi dekh sakta.",(none),,,,grounded,P01184,low
A004,"Meri beti ghar aayi aur kaha ki usne apne paanv par ek stick par pair rakh diya tha, jisne uska pair chhed diya - khoon nahi nikla. Maine dekha toh lagta hai ki usne seedhe teekhe saman par pair rakh diya hai. Chhed 1/2"" lamba hai jo seedhe uske pairoke talve mein 1/2-3/4"" tak jata hai. Aaj (2 din baad) usne kaha ki bahut dard ho raha hai, par koi sanka na infection ki, na rang mein badlav ki, touch karne par dard hota hai, khoon nahi nikalta abhi bhi. Abhi uski right arm pe sujhi hui lag rahi hai. Main confuse hoon ki kyun haath pe sujan ho rahi hai. Koi sujhav hai dard wale pair ya sujni wale haath ke bare mein.Please dekhein paanv par hua incident.","Bhai, main dekh raha hoon paanv par hua incident. Paanv par ek stick par pair rakhne se chhed aaya hai, lekin khoon nahin nikla. Chhed 1/2"" lamba hai aur seedhe pairoke talve mein jata hai. Aaj usne dard kahte hain, lekin infection ya rang badalne ki koi sanka nahin hai. 

Main aapko kuchh batana chahta hoon. Paanv par hua incident aapke beti ke paas Philadelphia-positive ALL (Ph+ ALL) hai, jiska arth hai ki uske paas ek khatarnaak kanker hai. Iske liye usne induction chemotherapy ki hai. 

Ab, haath pe sujhi aayi hai. Iska karan aapko ismein nahi pata, lekin isse kuchh cheezon ka lakshna ho sakta hai. Haath mein sujhi aane ke kai karan ho sakte hain, jaise ki chemotherapy ke side effects, ya koi anya samasya. 

Main aapko suggest karta hoon ki aap apne doctor se baat karein aur unhein iske bare mein puchhein. Unhein iske liye koi solution ya treatment suggest kar sakte h",(none),,,,grounded,P00885,high
A005,"Mere bachhe ko skin discoloration aur red itchy patches face se neck tak ke liye bahut samay se doctors ke paas jaana pad raha hai. Kuch samay ke liye sab kuch chala gaya tha, sirf chehre par botchy spots bach gaye (wo medium skin color ke hain isliye patches bahut noticeable hain). Kal, uske face aur neck par hives jaisi rash ho gayi hai saath hi itching bhi hai. 
Kripya dekhiye is vartaman condition ko. Koi sujhav dijiye. Humko lag raha hai ki hum kaiser ke saath kuch bhi paa nahi rahe hain.","Beta, maine aapki problem ki jaankari padhi hai. Aapke bacche ki EP (Epidermoid Proliferation) ka diagnosis kiya gaya hai, jo ek prakaar ki skin cancer hai. Iske alawa, unke chehre par BCC (Basal Cell Carcinoma) bhi hai. Unke histopathological report mein dikhai gayi cheezon se, humein lagta hai ki unke hives jaisi rash aur itching aapke bacche ki EP aur BCC ke karan hai. Hum aapke bacche ki treatment ka plan banaayenge, lekin aapko doctor se milne ki zaroorat hai.","malignancy, pruritus, rash",,,,grounded,P00160,medium
A006,"Main ab hepatitis C ke liye Incivek, Interferon aur ribavirin therapy par hoon. Mujhe ek hafte mein ek baar neupogen shots lena padta hai kyunki mere white blood counts low hain, mere legs aur feet mein pitting hai. Please doctor, dekhiye is vartaman condition ko neeche. Aur abhi mein 40mg ke lasix par hoon, aur pichle do din se mujhe nosebleeds hain, aur ab mere aankhon ke aas paas bleeding ho rahi hai. Kuch ho kya raha hai?","Arre bhai, main dekh raha hoon. Aapke symptoms bahut hi ghatiya hain. Neupogen shots aapko white blood counts badhane ke liye di jaati hain, lekin aapke pitting aur bleeding symptoms ke liye main kuchh shayad samajh nahi pa raha. Aapke nosebleeds aur aankhon ke aas paas bleeding ke liye main soch raha hoon ki aapke blood pressure badh sakta hai, ya phir aapke kidney function mein koi problem ho sakti hai. Main aapko Lasix ki dose badhane ya blood pressure check karne ke liye aapko ek doctor se milne ki salah dunga.",(none),,,,zero_shot,P01184,low
A007,"Maine teen doctor ko dekha hai kyunki mere haathon aur bahari kalai par yeh khujli hai. Mere haath par eczema ka medical history hai aur maine do round of IM 125 Medrol liye hain, rash bahut improve hua hai aur Monday se itching nahi hui hai. Mere kalai par jo rash hai wo skin colored hai aur unki shape connect circular nahi hai. Mujhe do weeks pehle scabies se expose hua tha, kya ye scabies ho sakti hai? Kya ye Medrol se improve hogi? Aur mere poore sharir mein itching hai, kya ye Medrol ka side effect hai? Main Medrol dose pack mein bhi hoon. Neeche image attach ki gayi hai.","Bhai, aapki baat suni. Khujli aur rash ke liye Medrol ka upyog karna theek hai. Lekin, aapke case mein, scabies ka khatra hai. Scabies ek infection hai jo skin par itching aur rash pahunchati hai. Circular rash aur itching ke symptoms scabies ke liye indicative hain. Medrol se scabies improve nahin hoga, isliye aapko dermatologist se saath milein aur ant scabies treatment kiya jaana chahiye.

Image dekhne se lagta hai ki rash circular shape ke ho sakte hain, aur aapke poore sharir mein itching hai, jo scabies ke symptoms hain. Medrol ka side effect itching ho sakta hai, lekin yeh scabies ke liye nahin hai. Aapko dermatologist se saath milein aur ant treatment kiya jaana chahiye.","infection, pruritus, rash",,,,zero_shot,P02331,low
A008,"Hum ye kaise decide karen ki ye shingles ka case hai ya contact dermatitis ka case hai. Full body rash hai, kuch khule hai, kuch scabs hai, ER doctors ka koi madad nahi kar paya, PCP review ke liye available nahi hai. Photos dekh rahe the aur lagta hai ki ye shingles ne mere husband ko attack kiya hai! Lekin ye bhi lag raha hai ki ye ek dermatitis problem hai, jise mere ek dost ko char saal se diagnose nahi kiya gaya hai! Rash ke saath bahut jyada itching bhi hai especially on legs and arms. Kripya dekhein doctor image of the affected area ko below .Woh mujhse keh raha hai ki woh jitna paani pee raha hai utna void nahi kar raha hai aur urine ka color bhi kaafi prominent hai. Main is Wednesday se jab se yahan se bahar gayi hoon aur abhi Tuesday night hai. Kal hum kahan se shuru karein.","Beta, main aapko yeh batana chahta hoon ki aapka husband ki situation ko dekhte hue, yeh shingles ya contact dermatitis ka case hai, ismein koi shayad nahi. Aapka husband ki photos dekhne se pata chalta hai ki uske paas dermatitis hai, jismein xerosis, erythema, scaling aur lichenification hai. Dermatoscopic evaluation ne bhi exclamation point hairs ko dikhaaya hai, jo alopecia areata ka niyam hai. 

Aapka husband ki symptoms aur family history bhi alopecia areata ka hi hain. Uska family history androgenic alopecia ka hai, aur uska treatment bhi alopecia areata ke liye kiya gaya hai. Main aapko yeh bhi batana chahta hoon ki aapka husband ki AD bhi hai, jismein uske paas allergenic rhinitis aur asthma bhi hai. 

Main aapko yeh bhi batana chahta hoon ki aapka husband ki treatment ke liye systemic immunosuppressive treatment, topical application of stronger potency steroids aur supplementation ke saath-saath cyclosporine bhi diya gaya hai.","dermatitis, erythema",,,,grounded,P00722,low
A009,"Mujhe lagatar sir dard hota hai, main bahut garam aur pareshan ho jata hoon aur mujhe dhyan dena mushkil lagta hai. Meri aankhein bhi dard karti hain. Please doctor, dekhiye yahaan tak ki aankhein. Jab main screens jaise teles aur computers dekhta hoon, tab main bahut thak jata hoon. Ye jab mujhe glandular fever ho gaya tha. Kya aapko lagta hai ki ismein kuch serious ho sakta hai?","Arre bhai, maine dekha hai ki aapko sir dard hota hai, aankhein dard karti hain aur aapko dhyan dena mushkil lagta hai. Ye symptoms aapke case mein mucormycosis ke liye hi the, jo ki ek serious fungal infection hai. Ismein aapko garami aur pareshani bhi hoti thi. 

Lekin, aapko glandular fever ho gaya tha, lekin ismein mucormycosis ke symptoms nahin the. Mucormycosis ke symptoms aapke case mein sir dard, aankhein dard, aur nasal discharge the. 

Main aapko yeh batana chahta hoon ki aapko koi fever, nausea, vomiting, dizziness, diplopia, blurred vision, aur memory dysfunction nahin tha.","fever, fungal, infection",,,,grounded,P00935,high
A010,"Haal hi mein mere left lower eyelid do baar suj gayi hai. Please doctor, dekhiye kya ho raha hai mere eyelid mein aur mere mouth ke uper corners mein. Sujan ek din aur adha ya do din tak rehti hai jab ye ho jati hai. Jab ye shuru hoti hai toh pehle itching wala ek gathri hoti hai aur phir fail jati hai. Jab ye mere mouth par hoti hai toh mere hont tingling hote hain. Ye kis cheez ki wajah se ho sakta hai?","Arre bhai, aapka eyelid ka sujan ek common problem hai. Ye ho sakta hai ki aapko trigeminal neuralgia ho raha hai, jo ek nerve ki problem hai. Jab ye aapke mouth ke uper corners par hota hai, toh aapko hont mein tingling ka anubhav hota hai. Hum chaliye check-up karke aur test karke aapko sahi treatment diya jaega.",pain,,,,zero_shot,P00855,high
