pair_id,condition,similarity_score,match_quality,zero_shot_output,grounded_output,zero_factual,grounded_factual,zero_hallucination,grounded_hallucination,factual_gain,halluc_reduction
P01555,neck_swelling,0.5505,high,"Arre bhai, main tumhare dar ke liye kuchh aisa nahi kahunga, lekin tumhara description sunke, main soch raha hoon ki tumhara neck ke side pe lump aur anya symptoms thyroid ke sambandh ho sakte hain. Thyroid ke kuchh tumor bahut badh sakte hain aur neck ke peeche ki skin mein bhi symptoms ho sakte hain. Main tumhe internal med specialist ke paas jaane ke liye kahaunga, woh tumhare symptoms ko dekhkar aur test karke hi sahi tareeke se diagnosis kar payenge.","Bhai, main aapko yeh batana chahta hoon ki FDG-PET scan ke dauran, aapke neck ke peeche ki cervical lymphadenopathy (lymph nodes) mein koi bhi problem ya hypermetabolic activity nahin dekhi gayi thi. Lekin, aapke neck ke side pe ek lump ho raha hai, iske liye humein zaroori hai ki aapko ek naya MRI ya CT scan karwaya jaye. 

Aapko chinta mat karna, hum aapke saath hain. Hum aapke case ko detail mein dekhein aur phir hi aapko koi vishesh treatment ya advice dijiye.",1.0,1.0,0.0,0.0,0.0,0.0
P01565,hand_lump,0.5655,high,"Bhai, aapka gaanth bahut tezi se badh raha hai, isliye main aapko ek orthopedic specialist (orthopedic visheshagya) se milne ki salah deta hoon. Vah aapko apne gaanth ke liye behtar tareeke se treatment kar sakte hain. Aapko ek orthopedic specialist se milne ke liye apne doctor se bhi baat karna chahiye, woh aapko ek appointment di sakte hain.","Bhai, tumhare case mein complex comminuted metacarpal fractures hain, jismein significant bone loss hai. Iska treatment karna zaroori hai, aur bone grafting ek aisi procedure hai jismein doctor tumhare haath mein bone loss ki jagah par naya bone lagata hai. 

Bone grafting ke liye best time yeh hai jab fracture puri tarah se heal ho jaaye, lekin yeh depend karta hai patient ke overall health par. 

Iliac crest bone grafts ka use karna ek common practice hai, kyunki yeh haath mein bone lagane ke liye ek achha source hai. Iliac crest bone grafts ka benefit yeh hai ki yeh haath mein bone lagane ke liye ek achha source hai aur yeh bone lagane ke baad haath ko strength deta hai. 

Iliac crest bone grafting ke complications mein infection, bleeding, and nerve damage shaamil hain.",0.25,0.5,0.0,0.5,0.25,-0.5
P01568,dry_scalp,0.4099,medium,"Namaste Shannon, aapki baat suni. Aapke case mein, yeh sambhav hai ki aapke scalp mein ek chhidkij (cut) hai, jo aapke scalp mein ek gaanth (scab) banane ke liye majboor ho gaya hai. Iske liye, aapko ek dermatologist se milna chahiye, jo aapke scalp ko dekhkar aur aapke symptoms ko samajhkar aapko sahi treatment de payega. Aapko iske liye appointment karwana chahiye.","Namaste Shannon ji, aapke symptoms aur clinical signs bahut hi similar hain progeria ke. Aapke paas difficulty walking, bilateral hip deformity, prominent eyes, prominent scalp veins, aur loss of subcutaneous fat jaise symptoms hain. Aapke case mein bhi yehi symptoms hain, aur isliye humein aapke liye progeria ka diagnosis lagana hai.",0.25,0.25,0.0,0.0,0.0,0.0
P01582,neck_swelling,0.6252,high,"Arre bhai, aapka lymph node ka swelling dekhte hain. Uric acid level ka badhna bhi ek chunauti hai. Lekin, aapka CT scan ka report bhi dekhne mein aaya hai. 

Aapka left side ke neck mein 1.4 cm ka gland hai, jo thoda bada hai, aur right side ke chote lymph nodes hain. Ye dono ka relation hoga, lekin ismein koi cancer ki sambhavana bhi ho sakti hai. Humko aur test karne honge, jaise ki biopsy, aur doctor ki baat karni hogi.

Treatment ke liye operation ka option ho sakta hai, lekin humko pehle doctor se baat karni hogi. Aur complications ke liye, humko chinta karni hogi, jaise ki infection, bleeding, ya thyroid gland par impact.","Bilkul, beta. Aapka neck par ek bada lymph node hai, lekin clinical signs ke anusaar aapke paas lymphadenopathy nahi hai. Aapke CT scan mein left side ke neck mein ek 1.4 cm ka gland hai, jiska relation aapke follicular thyroid carcinoma (pT1b) se ho sakta hai. Aapke blood test mein uric acid level elevated hai, lekin iska direct relation aapke neck swelling se nahi pata chala. Aapko operation karwana padega, kyunki aapka diagnosis follicular thyroid carcinoma hai aur aapne kuch time ke liye increase karne wala mass hai.",0.25,0.5,0.75,0.5,0.25,0.25
P01584,neck_swelling,0.4545,medium,"Arre bhai, maine suna hai ki aapke paas gardan ke peeche ek ganth hai. Ye bahut hi common baat hai. Aapke kahaane se lagta hai ki aapke bal rekha aur trapezius ke beech mein ganth hai, jo dardrahit hai. Aapke kahaane se lagta hai ki aapne isse 18 mahine pehle notice kiya tha, jab aapne apne pet ke bal soya karte samay gardan ko darne laga tha. 

Aapko chinta karne ki zarurat hai, lekin aapko koi bada dard ya sujan nahi hai. Aapko kuch samay ke liye apne doctor se milna hoga aur unka diagnosis karvaya jayega. Unke paas aapko kuch possible upchar kiya jayega, jaise ki physiotherapy ya pain management ke liye treatment. Aapko apne doctor se milne ke liye appointment lena hoga aur unke paas aapko pata chal jayega ki aapko kya karna hoga.","Beta, maine aapki baat suni hai. Lekin, main aapko yeh batana chahta hoon ki aapke symptoms aur clinical signs ke liye koi evidence aapke case excerpt mein nahin di gayi hai. Aapke gardan ke baye taraf ek ganth hai, lekin iske liye koi evidence nahin hai. Aapke symptoms aur clinical signs DKA aur COVID-19 ke liye evidence hai, lekin aapke gardan ke baye taraf ke ganth ke liye nahin. Main aapko yeh nahi keh sakta ki aapke symptoms aur clinical signs aapke gardan ke baye taraf ke ganth se related hain ya nahin. Main aapko chinta karne ki zarurat nahin keh sakta, lekin main aapko ek specialist se milne ki salah deta hoon.",0.0,0.25,1.0,0.0,0.25,1.0
P00771,swollen_tonsils,0.5749,high,"Arre bhai, tumhare symptoms bahut hi common hain. Tonsillitis ke baad gum inflammation aur tooth sensitivity bahut common hai. Sujne ki baat karein, yeh gum inflammation aur tooth sensitivity ka karan tumhare antibiotics ho sakte hain, lekin yeh bhi ho sakta hai ki tumhare dant mein cavity ho gaya ho ya gum disease bhi ho sakti hai. Main tumhe ek dentist se meeting karne ki suggestion karta hoon, woh tumhare dant aur gum ki check-up kar sakte hain.","Bachche, main dekh raha hoon ki aapka maxillary sinus mein ek foreign body hai, jise aapne apne dant ke andar daala tha. Iska matlab hai ki aapke tonsillitis ke antibiotics se yeh connection nahin hai. Aapke dant ke niche ki gum ki sujhai aur aapke mouth ke back tooth ki cover karne ki baat hai, yeh aapke dant A (Tooth A) ke periapical periodontitis ke karan ho sakta hai.",0.0,0.0,1.0,1.0,0.0,0.0
P00774,swollen_tonsils,0.4539,medium,"Namaste, bhai. Aapka case serious hai. Lymph nodes ka sujan aur mouth mein sores ka hone, yeh symptoms throat infection ya oral thrush ka sambhav hai. Amoxicillin aur Pyralvex solution aapke dentist ne aapko diya hai, lekin aapko koi bhi improvement nahi ho rahi hai, to humein yeh sochna chahiye ki koi aur infection ho sakta hai. Hum aapko ek specialist se milne ke liye bhejne ki koshish karenge.","Namaste, didi. Main aapki madad karne ke liye yahaan hoon. Aapke case mein thyroid goiter ka mention hai, jisse aapke neck mein bada enlargement ho raha hai. Iske karan aapko hoarseness, dysphasia, choking episodes, snoring, dyspnea, wheezing, palpitations, aur lower extremity edema ka anubhav ho raha hai. 

Aapke symptoms aur clinical signs ke anusaar, main aapko kuchh chizon ka sambandh jaanna chahta hoon. Aapke lymph nodes suj gaye hain, lekin aapke case mein lymphadenopathy ka direct reference nahin hai. Aapke mouth mein crank sores aur pus ka anubhav ho raha hai, jisse aapki zubaan dard kar rahi hai. 

Main aapko yeh batana chahta hoon ki aapke symptoms aur clinical signs thyroid goiter se judte hain, lekin aapke case mein oral infection ka direct reference nahin hai. Aapke dentist ne aapko antibiotics aur vitamin C lene ko kaha hai, jisse aapka oral infection thik ho sakta hai.",0.0,0.3333333333333333,1.0,0.6666666666666666,0.3333333333333333,0.3333333333333333
P00777,swollen_tonsils,0.6053,high,"Bhai, aapke symptoms bahut hi ghatiya hain. High heart rate aur fluttering seene mein bhi to heart rate ka kuch problem ho sakta hai, lekin dry cough aur rashes ke saath fever bhi aisa lagta hai ki aapko koi viral infection ho sakti hai. Aapko ek doctor se zaroor milna chahiye, woh aapko pata chalayenge ki aapko kya problem hai aur kya karana hai.","Arre bhai, tumhare symptoms aur clinical signs ke anusar, mujhe lagta hai ki tumhe IgG4-related pericarditis hai. Iska matlab hai ki tumhare pericardium mein inflammation hai, jo chest pain aur palpitations ka karan hai. Tumhare high heart rate aur fluttering seene mein, iska karan bhi yahi hai. Dry cough aur fever ke liye, humein kuch aur symptoms aur signs ki jarurat hai, lekin ismein kuch bhi nahi hai.",0.25,0.3333333333333333,0.75,0.6666666666666666,0.0833333333333333,0.0833333333333333
P00782,swollen_tonsils,0.5207,high,"Bhai, aapka sore throat aur tonsils ka samasya abhi bhi jari hai. Jab aapko antibiotic liya tha, toh wapas aane wala puss ho sakta hai. Lekin ab aapke paas doosre lakshan bhi hain, jaise kaano mein bhari pan, laal khoon wale aankhein, aur right side mein suj gaya gath. Yeh symptoms Mono (Influenza A) ke liye suggest karte hain, lekin test negative aaye hain. Hum aapko ek aur test karne ke liye bhej sakte hain, jaise throat culture ya blood test.","Bhai, tumhare symptoms aur clinical signs dekhe ja rahe hain. Tumhare paas left parapharyngeal space mein Schwannoma hai, jo tumhare throat discomfort, dysphagia, speech difficulties, numbness of the lower jaw, aur taste dysfunction ke liye jimmewar hai. Tumhare nasopharynx mein ek bada mass hai jo left side ko narrow kar raha hai. 

Tumhare case mein, tumhare throat mein koi infection ka lakshan nahin hai, aur tumhare neck lymph nodes palpable nahin hain. Tumhare paas koi fever nahin hai aur tumhare larynx mucosa ka color normal hai, aur vocal cords mobile aur smooth hain.",1.0,0.75,0.0,0.25,-0.25,-0.25
P00784,swollen_tonsils,0.3847,medium,"Arre bhai, main tumhe sakht jhootha nahin bol sakta. Jab aap kapdon mein bandhe ho aur koi skin-to-skin contact ho jata hai, toh syphillis ka risk hai. Lekin, agar aapke jeans puri tarah se bandh the aur aapko yaad hai ki aapne underwear mein cum nahi kiya tha, toh risk kam hai. 

Mujhe lagta hai ki tumhara case ek chhoti si problem ho sakta hai, jaise ki herpes ya genital warts. Ye bhi STD hain, lekin inke liye koi jaldi treatment nahin hai. Hum tumhe ek doctor ke saath baitha kar dekhein aur tumhe kuch test karvaenge. 

Abhi tumhara bukhar aur sore throat hai, toh humein yeh bhi dekhna hoga ki yeh kya hai. Hum tumhe kuch medicine dienge aur tumhe dekhein.","Bhai, main tumhein yeh batana chahta hoon ki clinical evidence mein koi bhi reference nahi hai jo is baat ka jhutla hai ki tumne syphillis se affected ho sakte ho. Lekin, tumhare symptoms jaise ki bukhar, sore throat, aur talwe ke dard, inke liye kuchh possible reasons ho sakte hain. Lekin, yeh bhi hai ki tumhare symptoms 20 din pehle shuru huye the, aur tumne syphillis ke symptoms ke baare mein kuchh nahi bataya hai. 

Tumhare symptoms ke liye kuchh possible reasons ho sakte hain, jaise ki viral infection, TB, ya koi aur bhi cheez. Lekin, yeh bhi hai ki tumhare clinical findings mein koi bhi reference nahi hai jo is baat ka jhutla hai ki tum syphillis se affected ho. 

Main tumhein yeh batana chahta hoon ki tumhara dar syphillis ke liye theek hai, lekin humein clinical evidence ke anusaar hi kuchh nahi kaha ja sakta hai.",1.0,1.0,0.0,0.0,0.0,0.0
