sample_id,query_hinglish,report_id,report_text,cmi_bucket
OPENI_0001,"Please explain: Doctor, Doctor, right/left chest side me pani ya fluid hai kya? Thoda simple samjhao.",O001,Right-sided pleural effusion is present. Heart size is within normal limits.,medium
OPENI_0002,Kya report me pneumonia ya infection ka sign hai? jaldi batao.,O002,"Left lower lobe consolidation is noted, suspicious for pneumonia.",high
OPENI_0003,"Doctor, Dil ka size bada dikh raha hai kya? Cough fever ke symptoms bhi chal rahe hai. Thoda simple samjhao.",O003,Mild cardiomegaly with pulmonary vascular congestion.,medium
OPENI_0004,"Please explain: Doctor, report me koi acute issue nahi hai kya? jaldi batao.",O004,No acute cardiopulmonary abnormality detected.,high
OPENI_0005,"Doctor, right/left chest side me pani ya fluid hai kyaa? Mujhe khansi aur bukhar bhi hai. Dil se related issue ka doubt bhi hai. Thoda simple samjhao.",O005,Moderate right pleural effusion with compressive atelectasis.,medium
OPENI_0006,Kya report me pneumonia ya infection ka sign hai? Thoda simple samjhao.,O006,Dense right lower lobe consolidation with air bronchograms.,medium
OPENI_0007,"Doctor, Doctor, right/left chest side me pani ya fluid hai kya?",O001,Right-sided pleural effusion is present. Heart size is within normal limits.,low
OPENI_0008,"Kya rprt me pneumonia ya infection ka sign hai? Heart beat fast lag rahi hai, chest pressure bhi hai. Thoda simple samjhao.",O002,"Left lower lobe consolidation is noted, suspicious for pneumonia.",medium
OPENI_0009,"Please explain: Doctor, Dil ka size bada dikh raha hai kya? Cough fever ke symptoms bhi chal rahe hai.",O003,Mild cardiomegaly with pulmonary vascular congestion.,low
OPENI_0010,"Please explain: Doctor, Report me koi acute issue nahi hai kya? Cough fever ke symptoms bhi chal rahe hai. jaldi batao.",O004,No acute cardiopulmonary abnormality detected.,high
OPENI_0011,"Doctor, right/left chest side me pani ya fluid hai kya? Cough fever ke symptoms bhi chal rahe hai.",O005,Moderate right pleural effusion with compressive atelectasis.,low
OPENI_0012,Kya rprt me pneumonia ya infection ka sign hai? Thoda simple samjhao.,O006,Dense right lower lobe consolidation with air bronchograms.,medium
OPENI_0013,"Doctor, right/left chest side me pani ya fluid hai kyaa? jaldi batao.",O001,Right-sided pleural effusion is present. Heart size is within normal limits.,high
OPENI_0014,"Doctor, Kya report me pneumonia ya infection ka sign hai? Heart beat fast lag rahi hai, chest pressure bhi hai. Thoda simple samjhao.",O002,"Left lower lobe consolidation is noted, suspicious for pneumonia.",medium
OPENI_0015,"Doctor, Dil ka size bada dikh raha hai kya? Thoda simple samjhao.",O003,Mild cardiomegaly with pulmonary vascular congestion.,medium
OPENI_0016,Please explain: repot me koi acute issue nahi hai kya? Cough fever ke symptoms bhi chal rahe hai. jaldi batao.,O004,No acute cardiopulmonary abnormality detected.,high
OPENI_0017,"Doctor, Doctor, right/left chest side me pani ya fluid hai ky? Cough fever ke symptoms bhi chal rahe hai.",O005,Moderate right pleural effusion with compressive atelectasis.,low
OPENI_0018,"Doctor, kya report me pneumonia ya infec ka sign hai? Dil se related issue ka doubt bhi hai. Thoda simple samjhao.",O006,Dense right lower lobe consolidation with air bronchograms.,medium
OPENI_0019,"Doctor, Doctor, right/left chest side me pani ya fluid hai kya?",O001,Right-sided pleural effusion is present. Heart size is within normal limits.,low
OPENI_0020,"Please explain: ky rprt me pneumonia ya infection ka sign hai? Heart beat fast lag rahi hai, chest pressure bhi hai. Thoda simple samjhao.",O002,"Left lower lobe consolidation is noted, suspicious for pneumonia.",medium
OPENI_0021,"Doctor, Dil ka size bada dikh raha hai kya? Thoda simple samjhao.",O003,Mild cardiomegaly with pulmonary vascular congestion.,medium
OPENI_0022,"Doctor, Report me koi acute issue nahi hai kya? Mujhe khansi aur bukhar bhi hai. Thoda simple samjhao.",O004,No acute cardiopulmonary abnormality detected.,medium
OPENI_0023,"Please explain: Doctor, Doctor, right/left chest side me pani ya fluid hai ky?",O005,Moderate right pleural effusion with compressive atelectasis.,low
OPENI_0024,"Doctor, Kya report me pneumonia ya infxn ka sign hai? jaldi batao.",O006,Dense right lower lobe consolidation with air bronchograms.,high
OPENI_0025,"Doctor, Doctor, right/left chest side me pani ya fluid hai kya? Mujhe khansi aur bukhar bhi hai. jaldi batao.",O001,Right-sided pleural effusion is present. Heart size is within normal limits.,high
OPENI_0026,"Please explain: Doctor, Kya report me pneumonia ya infxn ka sign hai? Thoda simple samjhao.",O002,"Left lower lobe consolidation is noted, suspicious for pneumonia.",medium
OPENI_0027,Dil ka size bada dikh raha hai kya? Mujhe khansi aur bukhar bhi hai. jaldi batao.,O003,Mild cardiomegaly with pulmonary vascular congestion.,high
OPENI_0028,Report me koi acute issue nahi hai kyaa? Cough fever ke symptoms bhi chal rahe hai. jaldi batao.,O004,No acute cardiopulmonary abnormality detected.,high
OPENI_0029,"Doctor, Doctor, right/left chest side me pani ya fluid hai kya? Cough fever ke symptoms bhi chal rahe hai. jaldi batao.",O005,Moderate right pleural effusion with compressive atelectasis.,high
OPENI_0030,"Doctor, Kya report me pneumonia ya infection ka sign hai? Heart beat fast lag rahi hai, chest pressure bhi hai.",O006,Dense right lower lobe consolidation with air bronchograms.,low
OPENI_0031,"Please explain: Doctor, right/left chest side me pani ya fluid hai kyaa? Mujhe khansi aur bukhar bhi hai. Thoda simple samjhao.",O001,Right-sided pleural effusion is present. Heart size is within normal limits.,medium
OPENI_0032,"Doctor, kyaa report me pneumonia ya infxn ka sign hai? Dil se related issue ka doubt bhi hai.",O002,"Left lower lobe consolidation is noted, suspicious for pneumonia.",low
OPENI_0033,"Doctor, Dil ka size bada dikh raha hai kya?",O003,Mild cardiomegaly with pulmonary vascular congestion.,low
OPENI_0034,Report me koi acute issue nahi hai ky? Cough fever ke symptoms bhi chal rahe hai. jaldi batao.,O004,No acute cardiopulmonary abnormality detected.,high
