report_id,report_text,clean_report_text,report_concepts,report_side
OPENI_000248,"FINDINGS: Heart size and mediastinal contour are normal. Pulmonary vascularity is normal. Lungs are clear. No pleural effusions or pneumothoraces. There is a mild anterior wedge XXXX deformity of L1, age-indeterminate.. IMPRESSION: 1. No acute cardiopulmonary process. 2. Age indeterminant grade 1 anterior wedge XXXX deformity of L1.",findings heart size and mediastinal contour are normal pulmonary vascularity is normal lungs are clear no pleural effusions or pneumothoraces there is a mild anterior wedge xxxx deformity of l1 age-indeterminate impression 1 no acute cardiopulmonary process 2 age indeterminant grade 1 anterior wedge xxxx deformity of l1,pleural_effusion|cardiomegaly|no_acute,unspecified
OPENI_002464,FINDINGS: No focal consolidation. No pneumothorax. No pleural effusions. Heart size normal. Cardio mediastinal silhouette is unremarkable.. IMPRESSION: 1. No acute cardiopulmonary findings.,findings no focal consolidation no pneumothorax no pleural effusions heart size normal cardio mediastinal silhouette is unremarkable impression 1 no acute cardiopulmonary findings,pleural_effusion|consolidation|cardiomegaly|no_acute,unspecified
OPENI_006081,FINDINGS: There is a moderate sized right pleural effusion. Severe slightly smaller than is compared to XXXX. There is a small left pleural effusion. This is unchanged as compared to the prior study. There is a right chest wall venous XXXX XXXX which appears accessed. No pneumothorax. Scaphoid abdomen.. IMPRESSION: 1. Moderate sized right pleural effusion appears smaller than the prior study. 2. Small left pleural effusion appears unchanged.,findings there is a moderate sized right pleural effusion severe slightly smaller than is compared to xxxx there is a small left pleural effusion this is unchanged as compared to the prior study there is a right chest wall venous xxxx xxxx which appears accessed no pneumothorax scaphoid abdomen impression 1 moderate sized right pleural effusion appears smaller than the prior study 2 small left pleural effusion appears unchanged,pleural_effusion,right
OPENI_005118,FINDINGS: Normal cardiomediastinal contours. No pneumothorax or pleural effusions. No focal lung consolidation.. IMPRESSION: 1. No acute cardiopulmonary abnormalities.,findings normal cardiomediastinal contours no pneumothorax or pleural effusions no focal lung consolidation impression 1 no acute cardiopulmonary abnormalities,pleural_effusion|consolidation|cardiomegaly|no_acute,unspecified
OPENI_002670,"FINDINGS: The lungs are clear, and without focal airspace opacity. The cardiomediastinal silhouette is normal in size and contour, and stable. There is no pneumothorax or large pleural effusion.. IMPRESSION: No acute cardiopulmonary abnormality.",findings the lungs are clear and without focal airspace opacity the cardiomediastinal silhouette is normal in size and contour and stable there is no pneumothorax or large pleural effusion impression no acute cardiopulmonary abnormality,pleural_effusion|cardiomegaly|opacity|no_acute,unspecified
OPENI_002390,FINDINGS: The cardiomediastinal silhouette is within normal limits. There is rounded calcified density within the left lower lobe most consistent with granuloma. Remaining lungs are clear without evidence of focal opacification. No pneumothorax or large pleural effusion. No acute bone abnormality.. IMPRESSION: No acute cardiopulmonary process.,findings the cardiomediastinal silhouette is within normal limits there is rounded calcified density within the left lower lobe most consistent with granuloma remaining lungs are clear without evidence of focal opacification no pneumothorax or large pleural effusion no acute bone abnormality impression no acute cardiopulmonary process,pleural_effusion|cardiomegaly|no_acute,left
OPENI_001966,FINDINGS: Heart is mildly enlarged but stable. Pulmonary vascularity is normal. The patient is status post valve replacement. XXXX sternotomy XXXX intact. No focal airspace disease or effusion. Residuals of prior granulomatous infection. Degenerative change of the spine. No pneumothorax.. IMPRESSION: 1. Stable cardiomegaly without evidence for acute pulmonary process.,findings heart is mildly enlarged but stable pulmonary vascularity is normal the patient is status post valve replacement xxxx sternotomy xxxx intact no focal airspace disease or effusion residuals of prior granulomatous infection degenerative change of the spine no pneumothorax impression 1 stable cardiomegaly without evidence for acute pulmonary process,pleural_effusion|pneumonia|cardiomegaly|no_acute,unspecified
OPENI_004476,FINDINGS: . IMPRESSION: Small calcification right lung base with appearance of old granulomatous disease. Also small perihilar calcified lymph XXXX. Lungs are clear. No active parenchymal disease. No XXXX of pleural effusions. No pulmonary edema. Normal heart size. No XXXX of active cardiopulmonary disease. Unchanged.,findings impression small calcification right lung base with appearance of old granulomatous disease also small perihilar calcified lymph xxxx lungs are clear no active parenchymal disease no xxxx of pleural effusions no pulmonary edema normal heart size no xxxx of active cardiopulmonary disease unchanged,pleural_effusion|cardiomegaly|congestion|no_acute,right
OPENI_001401,"FINDINGS: Heart size normal. Lungs are clear. XXXX are normal. No pneumonia, effusions, edema, pneumothorax, adenopathy, nodules or masses.. IMPRESSION: Normal chest",findings heart size normal lungs are clear xxxx are normal no pneumonia effusions edema pneumothorax adenopathy nodules or masses impression normal chest,pleural_effusion|pneumonia|cardiomegaly|congestion|no_acute,unspecified
OPENI_002971,FINDINGS: Heart size and pulmonary vascularity appear within normal limits. The lungs are free of focal airspace disease. No pleural effusion or pneumothorax is seen. There is eventration of the right hemidiaphragm. Degenerative changes are present in the spine.. IMPRESSION: 1. No evidence of active disease.,findings heart size and pulmonary vascularity appear within normal limits the lungs are free of focal airspace disease no pleural effusion or pneumothorax is seen there is eventration of the right hemidiaphragm degenerative changes are present in the spine impression 1 no evidence of active disease,pleural_effusion|cardiomegaly|no_acute,right
OPENI_003045,FINDINGS: Cardiomegaly. No focal consolidation. No pleural effusions. No evidence of pneumothorax. Osseous structures intact. Levocurvature of the thoracic spine. Lumbar vertebral body stabilization XXXX.. IMPRESSION: 1. No acute cardiopulmonary abnormality. 2. Cardiomegaly. .,findings cardiomegaly no focal consolidation no pleural effusions no evidence of pneumothorax osseous structures intact levocurvature of the thoracic spine lumbar vertebral body stabilization xxxx impression 1 no acute cardiopulmonary abnormality 2 cardiomegaly,pleural_effusion|consolidation|cardiomegaly|no_acute,unspecified
OPENI_000545,"FINDINGS: There is a lobulated contour to the right paratracheal stripe, possibly consistent with a vascular structure or lymph XXXX. The cardiomediastinal silhouette is otherwise within normal limits for appearance. No focal areas of pulmonary consolidation. No pneumothorax. No pleural effusion. The thoracic spine appears intact.. IMPRESSION: 1. Lobulated contour of the right paratracheal stripe. This may represent a vascular structure or enlarged lymph node and could be evaluated further with chest CT. Otherwise, no acute intrathoracic abnormality.",findings there is a lobulated contour to the right paratracheal stripe possibly consistent with a vascular structure or lymph xxxx the cardiomediastinal silhouette is otherwise within normal limits for appearance no focal areas of pulmonary consolidation no pneumothorax no pleural effusion the thoracic spine appears intact impression 1 lobulated contour of the right paratracheal stripe this may represent a vascular structure or enlarged lymph node and could be evaluated further with chest ct otherwise no acute intrathoracic abnormality,pleural_effusion|consolidation|cardiomegaly|no_acute,right
OPENI_000231,FINDINGS: The heart size and pulmonary vascularity appear within normal limits. The lungs are free of focal airspace disease. No pleural effusion or pneumothorax is seen. Degenerative changes are present in the spine.. IMPRESSION: 1. No evidence of active disease.,findings the heart size and pulmonary vascularity appear within normal limits the lungs are free of focal airspace disease no pleural effusion or pneumothorax is seen degenerative changes are present in the spine impression 1 no evidence of active disease,pleural_effusion|cardiomegaly|no_acute,unspecified
OPENI_004759,"FINDINGS: Normal heart size and mediastinal contours. There are reticular opacities in the medial right middle lobe with tubular airway ectasia which obscures the right heart XXXX. This was present previously and is most compatible with bronchiectasis. There is no XXXX focal airspace disease. No pneumothorax or pleural effusion. Unremarkable XXXX.. IMPRESSION: 1. No acute cardiopulmonary process. 2. Stable right middle lobe bronchiectasis, XXXX postinfectious/postinflammatory. .",findings normal heart size and mediastinal contours there are reticular opacities in the medial right middle lobe with tubular airway ectasia which obscures the right heart xxxx this was present previously and is most compatible with bronchiectasis there is no xxxx focal airspace disease no pneumothorax or pleural effusion unremarkable xxxx impression 1 no acute cardiopulmonary process 2 stable right middle lobe bronchiectasis xxxx postinfectious postinflammatory,pleural_effusion|pneumonia|cardiomegaly|opacity|no_acute,right
OPENI_003479,"FINDINGS: Heart size normal. Lungs are clear. XXXX are normal. No pneumonia, effusions, edema, pneumothorax, adenopathy, nodules or masses.. IMPRESSION: Normal chest",findings heart size normal lungs are clear xxxx are normal no pneumonia effusions edema pneumothorax adenopathy nodules or masses impression normal chest,pleural_effusion|pneumonia|cardiomegaly|congestion|no_acute,unspecified
