sample_id,query_hinglish,expected_report_id,retrieved_top1_report_id,retrieved_report_ids,retrieval_top1_hit,retrieval_topk_hit,retrieval_score_top1,top1_evidence_text,retrieved_evidence_text,zero_shot_output,grounded_output,zero_factual,grounded_factual,zero_hallucination,grounded_hallucination
S0001,Chest ke side me fluid jama hai kya please batao? right side me Report me 'pleural effusion' mention hai kya?,R001,R011,R011|R001|R010|R006|R020,0,1,0.7054583024978637,Moderate right pleural effusion with compressive atelectasis.,Moderate right pleural effusion with compressive atelectasis. || Right-sided pleural effusion is present. Heart size is within normal limits.,"Query: Chest ke side me fluid jama hai kya please batao? right side me Report me 'pleural effusion' mention hai kya? Symptoms ke basis par pleural effusion ka possibility lag sakta hai. clinical correlation advised, lekin bina report evidence final confirmation possible nahi hai.",Query: Chest ke side me fluid jama hai kya please batao? right side me Report me 'pleural effusion' mention hai kya? Available report evidence ke hisaab se: Moderate right pleural effusion with compressive atelectasis. Isliye explanation report-grounded hai.,1.0,1.0,0,0
S0002,"Doctor, consolidation ka matlab pneumonia hi hota hai kya? left side lung me Report me 'consolidation' mention hai kya? Aur 'suspicious' ka meaning bhi batao. Thoda simple Hinglish me samjhao.",R002,R002,R002|R010|R017|R008|R006,1,1,0.8257471354802449,"Left lower lobe consolidation is noted, suspicious for pneumonia.","Left lower lobe consolidation is noted, suspicious for pneumonia. || No focal consolidation or pleural effusion.","Query: Doctor, consolidation ka matlab pneumonia hi hota hai kya? left side lung me Report me 'consolidation' mention hai kya? Aur 'suspicious' ka meaning bhi batao. Thoda simple Hinglish me samjhao. Symptoms ke basis par pneumonia ka possibility lag sakta hai. clinical correlation advised, lekin bina report evidence final confirmation possible nahi hai.","Query: Doctor, consolidation ka matlab pneumonia hi hota hai kya? left side lung me Report me 'consolidation' mention hai kya? Aur 'suspicious' ka meaning bhi batao. Thoda simple Hinglish me samjhao. Available report evidence ke hisaab se: Left lower lobe consolidation is noted, suspicious for pneumonia. Isliye explanation report-grounded hai.",1.0,1.0,0,0
S0003,Kya cardiomegaly mention hai aur ye serious hai? condition halka hai kya? Report me 'cardiomegaly' mention hai kya?,R003,R003,R003|R001|R005|R004|R002,1,1,0.4790413337404077,Mild cardiomegaly with pulmonary vascular congestion.,Mild cardiomegaly with pulmonary vascular congestion. || Right-sided pleural effusion is present. Heart size is within normal limits.,"Query: Kya cardiomegaly mention hai aur ye serious hai? condition halka hai kya? Report me 'cardiomegaly' mention hai kya? Symptoms ke basis par cardiomegaly ka possibility lag sakta hai. clinical correlation advised, lekin bina report evidence final confirmation possible nahi hai.",Query: Kya cardiomegaly mention hai aur ye serious hai? condition halka hai kya? Report me 'cardiomegaly' mention hai kya? Available report evidence ke hisaab se: Mild cardiomegaly with pulmonary vascular congestion. Isliye explanation report-grounded hai.,1.0,1.0,0,0
S0004,Kya report me koi serious dikkat nahi hai? Report me 'no acute' mention hai kya? Aur 'cardiopulmonary' ka meaning bhi batao. Thoda simple Hinglish me samjhao.,R004,R004,R004|R013|R020|R010|R005,1,1,0.786986632347107,No acute cardiopulmonary abnormality detected.,No acute cardiopulmonary abnormality detected. || Hyperinflated lungs; no acute infiltrate.,"Query: Kya report me koi serious dikkat nahi hai? Report me 'no acute' mention hai kya? Aur 'cardiopulmonary' ka meaning bhi batao. Thoda simple Hinglish me samjhao. Symptoms ke basis par cardiomegaly ka possibility lag sakta hai. clinical correlation advised, lekin bina report evidence final confirmation possible nahi hai.",Query: Kya report me koi serious dikkat nahi hai? Report me 'no acute' mention hai kya? Aur 'cardiopulmonary' ka meaning bhi batao. Thoda simple Hinglish me samjhao. Available report evidence ke hisaab se: No acute cardiopulmonary abnormality detected. Isliye explanation report-grounded hai.,0.0,0.25,1,0
S0005,Atelectasis ka mention hai kya report me? Report me 'bibasilar' term ka matlab kya hai? Thoda simple Hinglish me samjhao.,R005,R005,R005|R011|R006|R014|R004,1,1,0.4095188868045807,Bibasilar atelectatic changes are seen.,Bibasilar atelectatic changes are seen. || Moderate right pleural effusion with compressive atelectasis.,"Query: Atelectasis ka mention hai kya report me? Report me 'bibasilar' term ka matlab kya hai? Thoda simple Hinglish me samjhao. Symptoms ke basis par atelectasis ka possibility lag sakta hai. clinical correlation advised, lekin bina report evidence final confirmation possible nahi hai.",Query: Atelectasis ka mention hai kya report me? Report me 'bibasilar' term ka matlab kya hai? Thoda simple Hinglish me samjhao. Available report evidence ke hisaab se: Bibasilar atelectatic changes are seen. Isliye explanation report-grounded hai.,1.0,1.0,0,0
S0006,"Please explain: Doctor, right side chhati me pani bhar gaya hai kya? left side me Report me 'atelectasis' mention hai kya?",R006,R011,R011|R006|R014|R007|R002,0,1,0.5258303252855936,Moderate right pleural effusion with compressive atelectasis.,Moderate right pleural effusion with compressive atelectasis. || Small left pleural effusion with adjacent basal atelectasis.,"Query: Please explain: Doctor, right side chhati me pani bhar gaya hai kya? left side me Report me 'atelectasis' mention hai kya? Symptoms ke basis par pleural effusion ka possibility lag sakta hai. clinical correlation advised, lekin bina report evidence final confirmation possible nahi hai.","Query: Please explain: Doctor, right side chhati me pani bhar gaya hai kya? left side me Report me 'atelectasis' mention hai kya? Available report evidence ke hisaab se: Moderate right pleural effusion with compressive atelectasis. Isliye explanation report-grounded hai.",1.0,1.0,0,0
S0007,Please explain: Report ke hisaab se lungs me infection ya pneumonia lag raha hai kya? right side lung me Report me 'infiltrate' mention hai kya?,R007,R007,R007|R013|R019|R008|R016,1,1,0.5470121759176254,"Right upper lobe infiltrate, likely infective etiology.","Right upper lobe infiltrate, likely infective etiology. || Hyperinflated lungs; no acute infiltrate.","Query: Please explain: Report ke hisaab se lungs me infection ya pneumonia lag raha hai kya? right side lung me Report me 'infiltrate' mention hai kya? Symptoms ke basis par pneumonia ka possibility lag sakta hai. clinical correlation advised, lekin bina report evidence final confirmation possible nahi hai.","Query: Please explain: Report ke hisaab se lungs me infection ya pneumonia lag raha hai kya? right side lung me Report me 'infiltrate' mention hai kya? Available report evidence ke hisaab se: Right upper lobe infiltrate, likely infective etiology. Isliye explanation report-grounded hai.",1.0,1.0,0,0
S0008,"Doctor, consolidation ka matlab pneumonia hi hota hai kya? dono side lung me Report me 'pneumonia' mention hai kya? Aur 'opacities' ka meaning bhi batao. Thoda simple Hinglish me samjhao.",R008,R008,R008|R002|R010|R017|R005,1,1,0.6899072281519572,Patchy bilateral opacities consistent with multifocal pneumonia.,"Patchy bilateral opacities consistent with multifocal pneumonia. || Left lower lobe consolidation is noted, suspicious for pneumonia.","Query: Doctor, consolidation ka matlab pneumonia hi hota hai kya? dono side lung me Report me 'pneumonia' mention hai kya? Aur 'opacities' ka meaning bhi batao. Thoda simple Hinglish me samjhao. Symptoms ke basis par pneumonia ka possibility lag sakta hai. clinical correlation advised, lekin bina report evidence final confirmation possible nahi hai.","Query: Doctor, consolidation ka matlab pneumonia hi hota hai kya? dono side lung me Report me 'pneumonia' mention hai kya? Aur 'opacities' ka meaning bhi batao. Thoda simple Hinglish me samjhao. Available report evidence ke hisaab se: Patchy bilateral opacities consistent with multifocal pneumonia. Isliye explanation report-grounded hai.",0.6666666666666666,0.6666666666666666,1,1
S0009,Kya cardiomegaly mention hai aur ye serious hai? condition halka hai kya?,R009,R003,R003|R001|R005|R004|R002,0,0,0.4861120408111148,Mild cardiomegaly with pulmonary vascular congestion.,Mild cardiomegaly with pulmonary vascular congestion. || Right-sided pleural effusion is present. Heart size is within normal limits.,"Query: Kya cardiomegaly mention hai aur ye serious hai? condition halka hai kya? Symptoms ke basis par cardiomegaly ka possibility lag sakta hai. clinical correlation advised, lekin bina report evidence final confirmation possible nahi hai.",Query: Kya cardiomegaly mention hai aur ye serious hai? condition halka hai kya? Available report evidence ke hisaab se: Mild cardiomegaly with pulmonary vascular congestion. Isliye explanation report-grounded hai.,1.0,1.0,0,0
S0010,Report me pleural effusion dikh raha hai kya? Report me 'pleural effusion' mention hai kya? Thoda simple Hinglish me samjhao.,R010,R010,R010|R011|R006|R020|R001,1,1,0.5763525947240683,No focal consolidation or pleural effusion.,No focal consolidation or pleural effusion. || Moderate right pleural effusion with compressive atelectasis.,"Query: Report me pleural effusion dikh raha hai kya? Report me 'pleural effusion' mention hai kya? Thoda simple Hinglish me samjhao. Symptoms ke basis par pleural effusion ka possibility lag sakta hai. clinical correlation advised, lekin bina report evidence final confirmation possible nahi hai.",Query: Report me pleural effusion dikh raha hai kya? Report me 'pleural effusion' mention hai kya? Thoda simple Hinglish me samjhao. Available report evidence ke hisaab se: No focal consolidation or pleural effusion. Isliye explanation report-grounded hai.,1.0,1.0,0,0
